id_client,familia,bloc_analitic,tipus_alerta,segment_client,dies_sense_compra,cicle_habitual_dies,dies_retard,share_of_wallet_12m,potencial_anual_eur,impacte_recuperable_eur,urgencia,motiu_explicat,data_alerta,z_score_silenci,nivell_alerta,prioritat_score,canal_recomanat,rank_prioritat
1000059704,Anestesia,Commodities,risc_fuga,fidel,244,32.0,211.0,1.02,4546.72,386.44,critica,Client fidel de Anestesia. Cicle habitual: 32 dies (±8). Porta 244 dies sense comprar (211 dies de retard). Share of wallet últims 12m: 102%. Possible inici de fuga.,2025-12-30,,,0.3855610418129865,delegat,11
1000078481,Biomateriales,Productes Tècnics,silenci_anomal_crític,actiu_regular,246,36.0,,,9247.3,1000.37,critica,Client actiu_regular de Biomaterials. Historial: 46 pedidos (5 últims 12m). Freqüència habitual: 36 ±35 dies. Porta 246 dies sense comprar (z=6.0). Anomalia crítica detectada.,2025-12-30,5.99,vermella,0.38313788260569165,delegat,12
39949,Biomateriales,Productes Tècnics,silenci_anomal_crític,actiu_regular,224,39.0,,,5548.38,903.72,critica,Client actiu_regular de Biomaterials. Historial: 41 pedidos (6 últims 12m). Freqüència habitual: 39 ±43 dies. Porta 224 dies sense comprar (z=4.3). Anomalia crítica detectada.,2025-12-30,4.26,vermella,0.3775093763160639,delegat,13
1000101237,Anestesia,Commodities,risc_fuga,fidel,197,67.0,129.0,1.161,3410.04,329.97,critica,Client fidel de Anestesia. Cicle habitual: 67 dies (±25). Porta 197 dies sense comprar (129 dies de retard). Share of wallet últims 12m: 116%. Possible inici de fuga.,2025-12-30,,,0.37536923601495154,delegat,14
1000077135,Anestesia,Commodities,risc_fuga,fidel,190,52.0,138.0,1.5,2223.12,292.68,critica,Client fidel de Anestesia. Cicle habitual: 52 dies (±28). Porta 190 dies sense comprar (138 dies de retard). Share of wallet últims 12m: 150%. Possible inici de fuga.,2025-12-30,,,0.36763564467157095,delegat,15
27995,Bioseguridad,Commodities,risc_fuga,fidel,95,35.0,59.0,1.5,2223.12,1894.6,alta,Client fidel de Bioseguridad. Cicle habitual: 35 dies (±17). Porta 95 dies sense comprar (59 dies de retard). Share of wallet últims 12m: 150%. Possible inici de fuga.,2025-12-30,,,0.36621085793081903,delegat,16
15330,Biomateriales,Productes Tècnics,silenci_anomal_crític,actiu_regular,225,55.0,,,16645.14,689.38,critica,Client actiu_regular de Biomaterials. Historial: 30 pedidos (5 últims 12m). Freqüència habitual: 55 ±43 dies. Porta 225 dies sense comprar (z=4.0). Anomalia crítica detectada.,2025-12-30,3.98,vermella,0.3625155663119445,delegat,17
31849,Biomateriales,Productes Tècnics,silenci_anomal_crític,actiu_regular,209,17.0,,,27741.9,567.75,critica,Client actiu_regular de Biomaterials. Historial: 81 pedidos (11 últims 12m). Freqüència habitual: 17 ±12 dies. Porta 209 dies sense comprar (z=15.5). Anomalia crítica detectada.,2025-12-30,15.48,vermella,0.35176853414295356,delegat,18
29716,Bioseguridad,Commodities,risc_fuga,fidel,232,55.0,176.0,1.034,2223.12,191.49,critica,Client fidel de Bioseguridad. Cicle habitual: 55 dies (±40). Porta 232 dies sense comprar (176 dies de retard). Share of wallet últims 12m: 103%. Possible inici de fuga.,2025-12-30,,,0.3403049526719827,delegat,19
1000080161,Anestesia,Commodities,risc_fuga,fidel,252,35.0,217.0,1.022,2223.12,189.25,critica,Client fidel de Anestesia. Cicle habitual: 35 dies (±15). Porta 252 dies sense comprar (217 dies de retard). Share of wallet últims 12m: 102%. Possible inici de fuga.,2025-12-30,,,0.33954767004118896,delegat,20
42160,Biomateriales,Productes Tècnics,silenci_anomal_crític,actiu_regular,180,37.0,,,5338.0,441.32,critica,Client actiu_regular de Biomaterials. Historial: 34 pedidos (10 últims 12m). Freqüència habitual: 37 ±33 dies. Porta 180 dies sense comprar (z=4.3). Anomalia crítica detectada.,2025-12-30,4.33,vermella,0.3378270153660811,delegat,21
1000079110,Anestesia,Commodities,risc_fuga,fidel,252,38.0,213.0,0.95,2223.12,176.03,critica,Client fidel de Anestesia. Cicle habitual: 38 dies (±20). Porta 252 dies sense comprar (213 dies de retard). Share of wallet últims 12m: 95%. Possible inici de fuga.,2025-12-30,,,0.3348882623906049,delegat,22
1000101627,Anestesia,Commodities,risc_fuga,fidel,235,72.0,163.0,0.942,2223.12,174.59,critica,Client fidel de Anestesia. Cicle habitual: 72 dies (±60). Porta 235 dies sense comprar (163 dies de retard). Share of wallet últims 12m: 94%. Possible inici de fuga.,2025-12-30,,,0.33435985749007113,delegat,23
1000100089,Biomateriales,Productes Tècnics,silenci_anomal_crític,actiu_regular,95,33.0,,,0.0,2778.59,alta,Client actiu_regular de Biomaterials. Historial: 7 pedidos (7 últims 12m). Freqüència habitual: 33 ±27 dies. Porta 95 dies sense comprar (z=2.3). Anomalia crítica detectada.,2025-12-30,2.31,vermella,0.329814505545345,delegat,24
1000101885,Biomateriales,Productes Tècnics,silenci_anomal_crític,actiu_regular,67,47.0,,,0.0,342.64,critica,Client actiu_regular de Biomaterials. Historial: 4 pedidos (4 últims 12m). Freqüència habitual: 47 ±5 dies. Porta 67 dies sense comprar (z=4.0). Anomalia crítica detectada.,2025-12-30,4.04,vermella,0.32382828834942967,delegat,25
1000077977,Biomateriales,Productes Tècnics,silenci_anomal_crític,actiu_regular,155,71.0,,,12946.22,2299.47,alta,Client actiu_regular de Biomaterials. Historial: 24 pedidos (5 últims 12m). Freqüència habitual: 71 ±36 dies. Porta 155 dies sense comprar (z=2.3). Anomalia crítica detectada.,2025-12-30,2.3,vermella,0.3219460138248284,delegat,26
41836,Bioseguridad,Commodities,risc_fuga,fidel,180,34.0,145.0,0.976,1667.34,135.68,critica,Client fidel de Bioseguridad. Cicle habitual: 34 dies (±14). Porta 180 dies sense comprar (145 dies de retard). Share of wallet últims 12m: 98%. Possible inici de fuga.,2025-12-30,,,0.31815285356072726,delegat,27
24874,Biomateriales,Productes Tècnics,silenci_anomal_crític,actiu_regular,160,47.0,,,11096.76,2068.69,alta,Client actiu_regular de Biomaterials. Historial: 36 pedidos (6 últims 12m). Freqüència habitual: 47 ±36 dies. Porta 160 dies sense comprar (z=3.1). Anomalia crítica detectada.,2025-12-30,3.11,vermella,0.3175492982599952,delegat,28
16074,Bioseguridad,Commodities,risc_fuga,fidel,214,68.0,145.0,1.464,1086.44,132.51,critica,Client fidel de Bioseguridad. Cicle habitual: 68 dies (±35). Porta 214 dies sense comprar (145 dies de retard). Share of wallet últims 12m: 146%. Possible inici de fuga.,2025-12-30,,,0.31663468920497095,delegat,29
27995,Biomateriales,Productes Tècnics,silenci_anomal_crític,actiu_esporadic,208,66.0,,,55483.8,5121.76,critica,Client actiu_esporadic de Biomaterials. Historial: 8 pedidos (3 últims 12m). Freqüència habitual: 66 ±8 dies. Porta 208 dies sense comprar (z=18.7). Anomalia crítica detectada.,2025-12-30,18.7,vermella,0.3157710859640109,televenda,30
30714,Biomateriales,Productes Tècnics,silenci_anomal_crític,actiu_regular,211,73.0,,,7397.84,1596.12,alta,Client actiu_regular de Biomaterials. Historial: 23 pedidos (4 últims 12m). Freqüència habitual: 73 ±56 dies. Porta 211 dies sense comprar (z=2.5). Anomalia crítica detectada.,2025-12-30,2.49,vermella,0.30676919214569437,delegat,31
42494,Anestesia,Commodities,risc_fuga,fidel,146,40.0,106.0,0.612,2223.12,113.43,critica,Client fidel de Anestesia. Cicle habitual: 40 dies (±20). Porta 146 dies sense comprar (106 dies de retard). Share of wallet últims 12m: 61%. Possible inici de fuga.,2025-12-30,,,0.30665768533529625,delegat,32
1000081788,Biomateriales,Productes Tècnics,silenci_anomal_crític,actiu_regular,231,64.0,,,20344.06,1547.97,alta,Client actiu_regular de Biomaterials. Historial: 25 pedidos (4 últims 12m). Freqüència habitual: 64 ±56 dies. Porta 231 dies sense comprar (z=3.0). Anomalia crítica detectada.,2025-12-30,2.97,vermella,0.3054960338425805,delegat,33
7750,Bioseguridad,Commodities,risc_fuga,fidel,193,61.0,131.0,0.583,2223.12,108.02,critica,Client fidel de Bioseguridad. Cicle habitual: 61 dies (±31). Porta 193 dies sense comprar (131 dies de retard). Share of wallet últims 12m: 58%. Possible inici de fuga.,2025-12-30,,,0.3035243227166126,delegat,34
1000100125,Anestesia,Commodities,finestra_captura,promiscu,102,316.0,0.0,0.039,17050.2,16390.49,alta,Client promiscu de Anestesia. Cicle habitual: 316 dies. La seva finestra de compra és ARA (retard: 0 dies). Share of wallet actual: 4%. Oportunitat de capturar 16390€ de quota de mercat.,2025-12-30,,,0.30271125173515434,televenda,35
1000077429,Biomateriales,Productes Tècnics,silenci_anomal_crític,actiu_esporadic,307,93.0,,,0.0,3527.6,critica,Client actiu_esporadic de Biomaterials. Historial: 17 pedidos (1 últims 12m). Freqüència habitual: 93 ±61 dies. Porta 307 dies sense comprar (z=3.5). Anomalia crítica detectada.,2025-12-30,3.52,vermella,0.3019892332970671,televenda,36
37653,Anestesia,Commodities,risc_fuga,fidel,117,40.0,77.0,0.559,2223.12,103.55,critica,Client fidel de Anestesia. Cicle habitual: 40 dies (±20). Porta 117 dies sense comprar (77 dies de retard). Share of wallet últims 12m: 56%. Possible inici de fuga.,2025-12-30,,,0.3008157557670964,delegat,37
39452,Bioseguridad,Commodities,risc_fuga,fidel,119,33.0,86.0,1.142,1086.44,103.42,critica,Client fidel de Bioseguridad. Cicle habitual: 33 dies (±21). Porta 119 dies sense comprar (86 dies de retard). Share of wallet últims 12m: 114%. Possible inici de fuga.,2025-12-30,,,0.3007352608723037,delegat,38
1000100321,Biomateriales,Productes Tècnics,silenci_anomal_crític,actiu_regular,96,43.0,,,0.0,1379.65,alta,Client actiu_regular de Biomaterials. Historial: 10 pedidos (8 últims 12m). Freqüència habitual: 43 ±25 dies. Porta 96 dies sense comprar (z=2.1). Anomalia crítica detectada.,2025-12-30,2.1,vermella,0.3007116464949559,delegat,39
1000048764,Biomateriales,Productes Tècnics,silenci_anomal_crític,actiu_esporadic,343,51.0,,,73978.4,3255.99,critica,Client actiu_esporadic de Biomaterials. Historial: 30 pedidos (1 últims 12m). Freqüència habitual: 51 ±26 dies. Porta 343 dies sense comprar (z=11.2). Anomalia crítica detectada.,2025-12-30,11.22,vermella,0.2990280788049566,televenda,40
1000101837,Anestesia,Commodities,risc_fuga,fidel,214,71.0,143.0,0.33,3410.04,93.7,critica,Client fidel de Anestesia. Cicle habitual: 71 dies (±21). Porta 214 dies sense comprar (143 dies de retard). Share of wallet últims 12m: 33%. Possible inici de fuga.,2025-12-30,,,0.29441397302047073,delegat,41
24936,Biomateriales,Productes Tècnics,silenci_anomal_crític,actiu_regular,203,49.0,,,5338.0,1177.08,alta,Client actiu_regular de Biomaterials. Historial: 33 pedidos (7 últims 12m). Freqüència habitual: 49 ±51 dies. Porta 203 dies sense comprar (z=3.0). Anomalia crítica detectada.,2025-12-30,3.02,vermella,0.29411256009949244,delegat,42
1000078257,Biomateriales,Productes Tècnics,silenci_anomal_crític,actiu_regular,96,26.0,,,18494.6,1133.94,alta,Client actiu_regular de Biomaterials. Historial: 70 pedidos (6 últims 12m). Freqüència habitual: 26 ±24 dies. Porta 96 dies sense comprar (z=2.9). Anomalia crítica detectada.,2025-12-30,2.89,vermella,0.29256097906246376,delegat,43
34044,Biomateriales,Productes Tècnics,silenci_anomal_crític,actiu_esporadic,250,9.0,,,8007.0,2732.86,critica,Client actiu_esporadic de Biomaterials. Historial: 2 pedidos (2 últims 12m). Freqüència habitual: 9 dies. Porta 250 dies sense comprar (z=89.3). Anomalia crítica detectada.,2025-12-30,89.26,vermella,0.29255516973910684,televenda,44
1000102186,Biomateriales,Productes Tècnics,silenci_anomal_crític,actiu_esporadic,69,6.0,,,0.0,2659.39,critica,Client actiu_esporadic de Biomaterials. Historial: 2 pedidos (2 últims 12m). Freqüència habitual: 6 dies. Porta 69 dies sense comprar (z=35.0). Anomalia crítica detectada.,2025-12-30,35.0,vermella,0.29154806033966807,televenda,45
1000077509,Biomateriales,Productes Tècnics,silenci_anomal_crític,actiu_regular,78,25.0,,,7397.84,1099.45,alta,Client actiu_regular de Biomaterials. Historial: 72 pedidos (18 últims 12m). Freqüència habitual: 25 ±20 dies. Porta 78 dies sense comprar (z=2.6). Anomalia crítica detectada.,2025-12-30,2.64,vermella,0.291277473658404,delegat,46
42930,Anestesia,Commodities,risc_fuga,fidel,239,56.0,183.0,0.234,4546.72,88.54,critica,Client fidel de Anestesia. Cicle habitual: 56 dies (±49). Porta 239 dies sense comprar (183 dies de retard). Share of wallet últims 12m: 23%. Possible inici de fuga.,2025-12-30,,,0.2907891380526429,delegat,47
1000101796,Biomateriales,Productes Tècnics,silenci_anomal_crític,actiu_regular,76,24.0,,,0.0,1074.2,alta,Client actiu_regular de Biomaterials. Historial: 8 pedidos (8 últims 12m). Freqüència habitual: 24 ±21 dies. Porta 76 dies sense comprar (z=2.5). Anomalia crítica detectada.,2025-12-30,2.49,vermella,0.29031205609257454,delegat,48
1000078377,Biomateriales,Productes Tècnics,silenci_anomal_crític,actiu_regular,186,40.0,,,14795.68,1067.24,alta,Client actiu_regular de Biomaterials. Historial: 41 pedidos (8 últims 12m). Freqüència habitual: 40 ±48 dies. Porta 186 dies sense comprar (z=3.0). Anomalia crítica detectada.,2025-12-30,3.01,vermella,0.2900419572145581,delegat,49
1000057850,Biomateriales,Productes Tècnics,silenci_anomal_crític,actiu_esporadic,334,123.0,,,10676.0,2374.95,critica,Client actiu_esporadic de Biomaterials. Historial: 13 pedidos (1 últims 12m). Freqüència habitual: 123 ±46 dies. Porta 334 dies sense comprar (z=4.6). Anomalia crítica detectada.,2025-12-30,4.57,vermella,0.28736774687689715,televenda,50
39038,Biomateriales,Productes Tècnics,silenci_anomal_crític,actiu_regular,69,18.0,,,23119.82,964.38,alta,Client actiu_regular de Biomaterials. Historial: 96 pedidos (18 últims 12m). Freqüència habitual: 18 ±18 dies. Porta 69 dies sense comprar (z=2.9). Anomalia crítica detectada.,2025-12-30,2.89,vermella,0.2858310969907732,delegat,51
40833,Anestesia,Commodities,risc_fuga,fidel,174,56.0,117.0,0.441,2223.12,81.68,critica,Client fidel de Anestesia. Cicle habitual: 56 dies (±31). Porta 174 dies sense comprar (117 dies de retard). Share of wallet últims 12m: 44%. Possible inici de fuga.,2025-12-30,,,0.2856323503627189,delegat,52
38500,Biomateriales,Productes Tècnics,silenci_anomal_crític,actiu_regular,116,31.0,,,23119.82,949.38,alta,Client actiu_regular de Biomaterials. Historial: 56 pedidos (13 últims 12m). Freqüència habitual: 31 ±34 dies. Porta 116 dies sense comprar (z=2.5). Anomalia crítica detectada.,2025-12-30,2.54,vermella,0.2851797950411024,delegat,53
1000102194,Biomateriales,Productes Tècnics,silenci_anomal_crític,actiu_esporadic,60,15.0,,,0.0,2216.75,critica,Client actiu_esporadic de Biomaterials. Historial: 2 pedidos (2 últims 12m). Freqüència habitual: 15 dies. Porta 60 dies sense comprar (z=10.0). Anomalia crítica detectada.,2025-12-30,10.0,vermella,0.28482040958725746,televenda,54
1000101485,Biomateriales,Productes Tècnics,silenci_anomal_crític,actiu_esporadic,319,121.0,,,0.0,2156.57,critica,Client actiu_esporadic de Biomaterials. Historial: 2 pedidos (1 últims 12m). Freqüència habitual: 121 dies. Porta 319 dies sense comprar (z=5.5). Anomalia crítica detectada.,2025-12-30,5.45,vermella,0.28380336363917746,televenda,55
37972,Anestesia,Commodities,risc_fuga,fidel,330,111.0,219.0,1.211,3410.04,344.02,alta,Client fidel de Anestesia. Cicle habitual: 111 dies (±81). Porta 330 dies sense comprar (219 dies de retard). Share of wallet últims 12m: 121%. Possible inici de fuga.,2025-12-30,,,0.2835442188713463,delegat,56
27735,Biomateriales,Productes Tècnics,silenci_anomal_crític,actiu_esporadic,350,164.0,,,7397.84,2134.0,critica,Client actiu_esporadic de Biomaterials. Historial: 5 pedidos (1 últims 12m). Freqüència habitual: 164 ±51 dies. Porta 350 dies sense comprar (z=3.6). Anomalia crítica detectada.,2025-12-30,3.62,vermella,0.2834145969930073,televenda,57
18936,Biomateriales,Productes Tècnics,silenci_anomal_crític,actiu_regular,207,63.0,,,8785.72,877.02,alta,Client actiu_regular de Biomaterials. Historial: 27 pedidos (10 últims 12m). Freqüència habitual: 63 ±71 dies. Porta 207 dies sense comprar (z=2.0). Anomalia crítica detectada.,2025-12-30,2.03,vermella,0.2818861440364774,delegat,58
1000101991,Biomateriales,Productes Tècnics,silenci_anomal_crític,actiu_esporadic,138,65.0,,,0.0,2037.07,critica,Client actiu_esporadic de Biomaterials. Historial: 2 pedidos (2 últims 12m). Freqüència habitual: 65 dies. Porta 138 dies sense comprar (z=3.7). Anomalia crítica detectada.,2025-12-30,3.74,vermella,0.28169688049404784,televenda,59
1000073655,Anestesia,Commodities,risc_fuga,fidel,250,56.0,194.0,0.414,2223.12,76.77,critica,Client fidel de Anestesia. Cicle habitual: 56 dies (±26). Porta 250 dies sense comprar (194 dies de retard). Share of wallet últims 12m: 41%. Possible inici de fuga.,2025-12-30,,,0.28167151982327704,delegat,60
17690,Biomateriales,Productes Tècnics,silenci_anomal_crític,actiu_esporadic,173,88.0,,,0.0,1974.47,critica,Client actiu_esporadic de Biomaterials. Historial: 5 pedidos (3 últims 12m). Freqüència habitual: 88 ±22 dies. Porta 173 dies sense comprar (z=3.8). Anomalia crítica detectada.,2025-12-30,3.81,vermella,0.28054355263837183,televenda,61
1000101631,Biomateriales,Productes Tècnics,silenci_anomal_crític,actiu_esporadic,193,58.0,,,0.0,1893.16,critica,Client actiu_esporadic de Biomaterials. Historial: 4 pedidos (3 últims 12m). Freqüència habitual: 58 ±28 dies. Porta 193 dies sense comprar (z=4.8). Anomalia crítica detectada.,2025-12-30,4.81,vermella,0.27898970199796286,televenda,62
1000102196,Biomateriales,Productes Tècnics,silenci_anomal_crític,actiu_esporadic,54,6.0,,,0.0,1837.26,critica,Client actiu_esporadic de Biomaterials. Historial: 3 pedidos (3 últims 12m). Freqüència habitual: 6 ±5 dies. Porta 54 dies sense comprar (z=9.6). Anomalia crítica detectada.,2025-12-30,9.6,vermella,0.2778822507989717,televenda,63
1000101088,Biomateriales,Productes Tècnics,silenci_anomal_crític,actiu_esporadic,300,51.0,,,0.0,1828.71,critica,Client actiu_esporadic de Biomaterials. Historial: 2 pedidos (2 últims 12m). Freqüència habitual: 51 dies. Porta 300 dies sense comprar (z=16.3). Anomalia crítica detectada.,2025-12-30,16.27,vermella,0.2777099005364942,televenda,64
1000101122,Biomateriales,Productes Tècnics,silenci_anomal_crític,actiu_esporadic,208,138.0,,,0.0,1804.36,critica,Client actiu_esporadic de Biomaterials. Historial: 3 pedidos (2 últims 12m). Freqüència habitual: 138 ±5 dies. Porta 208 dies sense comprar (z=14.2). Anomalia crítica detectada.,2025-12-30,14.24,vermella,0.2772146060359186,televenda,65
34686,Bioseguridad,Commodities,risc_fuga,fidel,151,57.0,93.0,1.5,1086.44,299.54,alta,Client fidel de Bioseguridad. Cicle habitual: 57 dies (±30). Porta 151 dies sense comprar (93 dies de retard). Share of wallet últims 12m: 150%. Possible inici de fuga.,2025-12-30,,,0.2768471159101983,delegat,66
39862,Anestesia,Commodities,finestra_captura,promiscu,112,170.0,0.0,0.116,7956.76,7031.28,alta,Client promiscu de Anestesia. Cicle habitual: 170 dies. La seva finestra de compra és ARA (retard: 0 dies). Share of wallet actual: 12%. Oportunitat de capturar 7031€ de quota de mercat.,2025-12-30,,,0.2763142882199225,televenda,67
1000080721,Biomateriales,Productes Tècnics,silenci_anomal_crític,actiu_esporadic,287,41.0,,,55483.8,1760.89,critica,Client actiu_esporadic de Biomaterials. Historial: 38 pedidos (3 últims 12m). Freqüència habitual: 41 ±28 dies. Porta 287 dies sense comprar (z=8.8). Anomalia crítica detectada.,2025-12-30,8.82,vermella,0.2763135570243206,televenda,68
37005,Biomateriales,Productes Tècnics,silenci_anomal_crític,actiu_regular,159,46.0,,,6936.26,758.47,alta,Client actiu_regular de Biomaterials. Historial: 35 pedidos (5 últims 12m). Freqüència habitual: 46 ±50 dies. Porta 159 dies sense comprar (z=2.3). Anomalia crítica detectada.,2025-12-30,2.27,vermella,0.27585351328303737,delegat,69
37468,Bioseguridad,Commodities,risc_fuga,fidel,216,93.0,122.0,1.047,3334.68,290.84,alta,Client fidel de Bioseguridad. Cicle habitual: 93 dies (±56). Porta 216 dies sense comprar (122 dies de retard). Share of wallet últims 12m: 105%. Possible inici de fuga.,2025-12-30,,,0.27542177015110925,delegat,70
1000101707,Biomateriales,Productes Tècnics,silenci_anomal_crític,actiu_esporadic,266,68.0,,,0.0,1659.52,critica,Client actiu_esporadic de Biomaterials. Historial: 2 pedidos (2 últims 12m). Freqüència habitual: 68 dies. Porta 266 dies sense comprar (z=9.7). Anomalia crítica detectada.,2025-12-30,9.71,vermella,0.2741228954750464,televenda,71
1000100657,Biomateriales,Productes Tècnics,silenci_anomal_crític,actiu_esporadic,315,74.0,,,0.0,1658.22,critica,Client actiu_esporadic de Biomaterials. Historial: 6 pedidos (1 últims 12m). Freqüència habitual: 74 ±21 dies. Porta 315 dies sense comprar (z=11.5). Anomalia crítica detectada.,2025-12-30,11.46,vermella,0.27409394137131765,televenda,72
29359,Biomateriales,Productes Tècnics,silenci_anomal_crític,actiu_regular,105,39.0,,,18494.6,722.12,alta,Client actiu_regular de Biomaterials. Historial: 45 pedidos (5 últims 12m). Freqüència habitual: 39 ±29 dies. Porta 105 dies sense comprar (z=2.3). Anomalia crítica detectada.,2025-12-30,2.29,vermella,0.27381368439132636,delegat,73
1000101239,Biomateriales,Productes Tècnics,silenci_anomal_crític,actiu_esporadic,340,129.0,,,0.0,1633.4,critica,Client actiu_esporadic de Biomaterials. Historial: 2 pedidos (1 últims 12m). Freqüència habitual: 129 dies. Porta 340 dies sense comprar (z=5.5). Anomalia crítica detectada.,2025-12-30,5.45,vermella,0.2735367462183128,televenda,74
1000080281,Biomateriales,Productes Tècnics,silenci_anomal_crític,actiu_esporadic,351,56.0,,,5338.0,1614.16,critica,Client actiu_esporadic de Biomaterials. Historial: 6 pedidos (1 últims 12m). Freqüència habitual: 56 ±42 dies. Porta 351 dies sense comprar (z=7.0). Anomalia crítica detectada.,2025-12-30,7.04,vermella,0.2730989657260929,televenda,75
4101,Biomateriales,Productes Tècnics,silenci_anomal_crític,actiu_esporadic,298,95.0,,,11558.34,1585.0,critica,Client actiu_esporadic de Biomaterials. Historial: 16 pedidos (1 últims 12m). Freqüència habitual: 95 ±38 dies. Porta 298 dies sense comprar (z=5.3). Anomalia crítica detectada.,2025-12-30,5.28,vermella,0.2724254263759646,televenda,76
1000078921,Anestesia,Commodities,finestra_captura,promiscu,112,244.0,0.0,0.092,6820.08,6192.61,alta,Client promiscu de Anestesia. Cicle habitual: 244 dies. La seva finestra de compra és ARA (retard: 0 dies). Share of wallet actual: 9%. Oportunitat de capturar 6193€ de quota de mercat.,2025-12-30,,,0.2723530229678739,televenda,77
38501,Biomateriales,Productes Tècnics,silenci_anomal_crític,actiu_regular,210,61.0,,,5338.0,693.31,alta,Client actiu_regular de Biomaterials. Historial: 27 pedidos (6 últims 12m). Freqüència habitual: 61 ±49 dies. Porta 210 dies sense comprar (z=3.1). Anomalia crítica detectada.,2025-12-30,3.05,vermella,0.2721227576201525,delegat,78
1000081115,Anestesia,Commodities,finestra_captura,promiscu,118,686.0,0.0,0.104,6820.08,6111.38,alta,Client promiscu de Anestesia. Cicle habitual: 686 dies. La seva finestra de compra és ARA (retard: 0 dies). Share of wallet actual: 10%. Oportunitat de capturar 6111€ de quota de mercat.,2025-12-30,,,0.2719412187299064,televenda,79
1000100320,Biomateriales,Productes Tècnics,silenci_anomal_crític,actiu_esporadic,319,66.0,,,0.0,1559.8,critica,Client actiu_esporadic de Biomaterials. Historial: 6 pedidos (1 últims 12m). Freqüència habitual: 66 ±63 dies. Porta 319 dies sense comprar (z=4.0). Anomalia crítica detectada.,2025-12-30,4.02,vermella,0.27183330395500355,televenda,80
