id_client,provincia,familia,segment_client,share_of_wallet_12m,dies_sense_compra,cicle_habitual_dies,potencial_anual_eur,z_score_retard,genera_alerta,tipus_alerta,impacte_recuperable_eur,urgencia,motiu_explicat
433,Sevilla,Anestesia,fidel,0.873,24,140.8,3410.04,-1.57,False,,,,
433,Sevilla,Bioseguridad,perdut,0.0,873,,1667.34,,False,,,,
435,Sevilla,Anestesia,fidel,0.956,62,167.8,2223.12,-2.99,False,,,,
435,Sevilla,Bioseguridad,fidel,1.216,62,112.5,1086.44,-0.84,False,,,,
462,Sevilla,Anestesia,perdut,1.178,115,,2223.12,,False,,,,
462,Sevilla,Bioseguridad,perdut,0.373,115,,1086.44,,False,,,,
473,Sevilla,Anestesia,perdut,0.0,1312,,3410.04,,False,,,,
473,Sevilla,Bioseguridad,perdut,0.0,1643,,1667.34,,False,,,,
474,Sevilla,Anestesia,perdut,0.568,104,,3410.04,,False,,,,
475,Sevilla,Anestesia,perdut,0.0,1147,,2223.12,,False,,,,
477,Sevilla,Anestesia,perdut,0.262,181,,2223.12,,False,,,,
477,Sevilla,Bioseguridad,perdut,0.366,181,,1086.44,,False,,,,
495,Valencia,Anestesia,en_risc,2.102,27,75.1,2223.12,-1.43,True,caiguda_share,0.0,mitja,"Client en_risc de Anestesia (Share 12m: 210%). El seu cicle de compra és de 75 dies. Porta 27 dies sense comprar (-48 dies de coll). Tenia share alt, però en els últims 3 mesos ha caigut substancialment."
519,Valencia,Bioseguridad,perdut,0.746,207,,1086.44,,False,,,,
523,Valencia,Bioseguridad,perdut,0.0,490,,1086.44,,False,,,,
542,Valencia,Anestesia,perdut,0.0,1532,,2223.12,,False,,,,
553,Valencia,Anestesia,perdut,0.203,272,,3410.04,,False,,,,
553,Valencia,Bioseguridad,promiscu,0.729,88,186.2,1667.34,-1.33,False,,,,
576,Valencia,Bioseguridad,marginal,0.0,760,,1086.44,,False,,,,
583,Valencia,Anestesia,perdut,0.126,325,,3410.04,,False,,,,
583,Valencia,Bioseguridad,marginal,0.0,399,,1667.34,,False,,,,
632,Valencia,Anestesia,perdut,0.478,280,,2223.12,,False,,,,
632,Valencia,Bioseguridad,perdut,0.0,1643,,1086.44,,False,,,,
654,Toledo,Anestesia,perdut,0.0,405,,2223.12,,False,,,,
654,Toledo,Bioseguridad,marginal,0.0,1488,,1086.44,,False,,,,
664,Toledo,Anestesia,perdut,0.537,94,,1802.36,,False,,,,
667,Toledo,Bioseguridad,perdut,0.0,1301,,879.2,,False,,,,
669,Toledo,Anestesia,promiscu,0.333,25,176.5,2223.12,-0.86,False,,,,
670,Toledo,Anestesia,perdut,0.0,649,,1802.36,,False,,,,
685,Toledo,Anestesia,perdut,0.732,108,,2223.12,,False,,,,
685,Toledo,Bioseguridad,perdut,1.377,108,,1086.44,,False,,,,
716,Tarragona,Anestesia,promiscu,0.729,19,162.4,2223.12,-2.16,False,,,,
722,Teruel,Anestesia,perdut,0.0,1106,,2223.12,,False,,,,
722,Teruel,Bioseguridad,perdut,0.0,964,,1086.44,,False,,,,
732,Toledo,Anestesia,fidel,0.823,27,117.0,2223.12,-2.02,False,,,,
732,Toledo,Bioseguridad,perdut,0.366,322,,1086.44,,False,,,,
752,Valencia,Anestesia,marginal,0.0,1533,,3410.04,,False,,,,
752,Valencia,Bioseguridad,perdut,0.0,955,,1667.34,,False,,,,
761,Valencia,Anestesia,perdut,0.107,117,,3410.04,,False,,,,
761,Valencia,Bioseguridad,perdut,0.0,409,,1667.34,,False,,,,
768,Valencia,Anestesia,perdut,0.0,1169,,2223.12,,False,,,,
768,Valencia,Bioseguridad,perdut,0.0,641,,1086.44,,False,,,,
778,Valencia,Anestesia,perdut,0.182,269,,3410.04,,False,,,,
801,Valencia,Anestesia,promiscu,0.458,35,443.0,1802.36,-4.59,False,,,,
801,Valencia,Bioseguridad,marginal,0.181,35,,879.2,,False,,,,
813,Valencia,Anestesia,perdut,0.236,230,,3410.04,,False,,,,
813,Valencia,Bioseguridad,perdut,0.0,822,,1667.34,,False,,,,
814,Valencia,Anestesia,nou,0.381,27,,2223.12,,False,,,,
814,Valencia,Bioseguridad,nou,0.366,27,,1086.44,,False,,,,
816,Valencia,Bioseguridad,marginal,0.0,1783,,879.2,,False,,,,
827,Valencia,Anestesia,perdut,0.778,185,,1802.36,,False,,,,
827,Valencia,Bioseguridad,perdut,0.0,721,,879.2,,False,,,,
841,Valencia,Anestesia,perdut,0.0,1084,,2223.12,,False,,,,
878,Valencia,Anestesia,promiscu,0.693,53,437.2,3410.04,-0.53,False,,,,
878,Valencia,Bioseguridad,perdut,0.0,910,,1667.34,,False,,,,
879,Valencia,Anestesia,promiscu,0.582,28,163.1,3410.04,-2.72,False,,,,
879,Valencia,Bioseguridad,promiscu,0.559,28,181.2,1667.34,-2.95,False,,,,
906,Valencia,Anestesia,promiscu,0.593,33,122.9,3410.04,-1.61,False,,,,
906,Valencia,Bioseguridad,promiscu,0.583,62,496.7,1667.34,-2.66,False,,,,
924,Valencia,Anestesia,perdut,0.0,935,,2223.12,,False,,,,
932,Valencia,Anestesia,en_risc,0.74,27,286.5,2223.12,-19.32,True,caiguda_share,577.6,mitja,"Client en_risc de Anestesia (Share 12m: 74%). El seu cicle de compra és de 286 dies. Porta 27 dies sense comprar (-260 dies de coll). Tenia share alt, però en els últims 3 mesos ha caigut substancialment."
946,Valencia,Anestesia,perdut,0.0,600,,3410.04,,False,,,,
946,Valencia,Bioseguridad,fidel,1.01,59,281.5,1667.34,-2.31,False,,,,
959,Valencia,Anestesia,perdut,0.74,206,,3410.04,,False,,,,
991,Valladolid,Anestesia,perdut,0.234,206,,2223.12,,False,,,,
993,Valladolid,Bioseguridad,fidel,0.805,34,221.4,1086.44,-1.27,False,,,,
1005,Valladolid,Anestesia,perdut,0.327,293,,4546.72,,False,,,,
1005,Valladolid,Bioseguridad,perdut,0.866,104,,2223.12,,False,,,,
1036,Valladolid,Anestesia,perdut,0.198,123,,2223.12,,False,,,,
1036,Valladolid,Bioseguridad,perdut,0.0,460,,1086.44,,False,,,,
1056,Valladolid,Anestesia,perdut,0.0,411,,1802.36,,False,,,,
1056,Valladolid,Bioseguridad,perdut,0.0,486,,879.2,,False,,,,
1073,Valladolid,Anestesia,marginal,0.244,24,,1802.36,,False,,,,
1073,Valladolid,Bioseguridad,promiscu,0.317,24,736.5,879.2,-1.24,False,,,,
1078,Valladolid,Bioseguridad,marginal,0.0,902,,879.2,,False,,,,
1116,Valencia,Anestesia,marginal,0.201,27,,3410.04,,False,,,,
1116,Valencia,Bioseguridad,perdut,0.0,850,,1667.34,,False,,,,
1118,Valencia,Anestesia,perdut,0.329,207,,3410.04,,False,,,,
1118,Valencia,Bioseguridad,perdut,0.963,108,,1667.34,,False,,,,
1133,Valencia,Anestesia,perdut,0.0,823,,1802.36,,False,,,,
1137,Valencia,Anestesia,perdut,0.24,340,,2223.12,,False,,,,
1137,Valencia,Bioseguridad,perdut,0.186,340,,1086.44,,False,,,,
1144,Valencia,Anestesia,promiscu,0.634,40,204.6,5683.4,-2.26,False,,,,
1144,Valencia,Bioseguridad,perdut,0.303,215,,2778.9,,False,,,,
1156,Valencia,Anestesia,perdut,0.279,96,,4546.72,,False,,,,
1156,Valencia,Bioseguridad,fidel,0.901,7,169.4,2223.12,-1.96,False,,,,
1169,Valencia,Anestesia,perdut,0.0,392,,2223.12,,False,,,,
1169,Valencia,Bioseguridad,marginal,0.0,762,,1086.44,,False,,,,
1195,Valencia,Anestesia,perdut,0.0,613,,3410.04,,False,,,,
1221,Valencia,Anestesia,perdut,0.0,684,,3410.04,,False,,,,
1246,Navarra,Anestesia,marginal,0.0,1803,,1802.36,,False,,,,
1246,Navarra,Bioseguridad,marginal,0.0,1523,,879.2,,False,,,,
1262,Navarra,Anestesia,perdut,0.0,826,,1802.36,,False,,,,
1262,Navarra,Bioseguridad,marginal,0.0,1719,,879.2,,False,,,,
1264,La Rioja,Anestesia,perdut,0.709,215,,1802.36,,False,,,,
1314,Navarra,Anestesia,perdut,0.0,1054,,2223.12,,False,,,,
1314,Navarra,Bioseguridad,perdut,0.0,1263,,1086.44,,False,,,,
1392,Murcia,Anestesia,marginal,0.0,1426,,2223.12,,False,,,,
1392,Murcia,Bioseguridad,perdut,0.366,95,,1086.44,,False,,,,
1416,Murcia,Anestesia,perdut,0.0,447,,2223.12,,False,,,,
1420,Murcia,Anestesia,perdut,1.178,117,,2223.12,,False,,,,
1426,Murcia,Anestesia,fidel,0.89,19,103.4,2223.12,-1.45,False,,,,
1426,Murcia,Bioseguridad,promiscu,0.74,87,241.4,1086.44,-1.05,False,,,,
1428,Murcia,Anestesia,perdut,0.258,341,,2223.12,,False,,,,
1428,Murcia,Bioseguridad,perdut,0.261,262,,1086.44,,False,,,,
1430,Murcia,Anestesia,perdut,1.793,94,,2223.12,,False,,,,
1430,Murcia,Bioseguridad,fidel,1.756,73,110.9,1086.44,-0.8,False,,,,
1433,Murcia,Anestesia,marginal,0.247,75,,2223.12,,False,,,,
1451,Murcia,Anestesia,perdut,0.266,263,,2223.12,,False,,,,
1451,Murcia,Bioseguridad,perdut,0.146,175,,1086.44,,False,,,,
1452,Murcia,Anestesia,promiscu,0.7,47,113.5,2223.12,-1.03,False,,,,
1460,Murcia,Anestesia,perdut,0.16,327,,2223.12,,False,,,,
1460,Murcia,Bioseguridad,promiscu,0.5,54,532.7,1086.44,-1.13,False,,,,
1477,Murcia,Anestesia,fidel,1.271,28,86.0,2223.12,-1.47,False,,,,
1477,Murcia,Bioseguridad,promiscu,0.664,28,286.8,1086.44,-1.57,False,,,,
1478,Baleares,Bioseguridad,perdut,0.0,1428,,879.2,,False,,,,
1592,Orense,Anestesia,perdut,0.0,595,,2223.12,,False,,,,
1624,Orense,Anestesia,promiscu,0.725,88,124.0,1802.36,-0.89,False,,,,
1641,Navarra,Anestesia,fidel,1.463,12,44.2,2223.12,-1.39,False,,,,
1641,Navarra,Bioseguridad,perdut,0.746,301,,1086.44,,False,,,,
1643,Navarra,Anestesia,perdut,0.0,1421,,1802.36,,False,,,,
1690,Navarra,Anestesia,perdut,0.187,105,,1802.36,,False,,,,
1778,Pontevedra,Anestesia,promiscu,0.395,55,114.3,2223.12,-1.45,False,,,,
1778,Pontevedra,Bioseguridad,marginal,0.0,1203,,1086.44,,False,,,,
1779,Pontevedra,Anestesia,perdut,0.0,1064,,1802.36,,False,,,,
1803,Pontevedra,Anestesia,perdut,0.0,1697,,2223.12,,False,,,,
1817,Pontevedra,Anestesia,perdut,0.642,206,,2223.12,,False,,,,
1817,Pontevedra,Bioseguridad,promiscu,0.371,28,616.0,1086.44,-7.84,False,,,,
1818,Las Palmas,Anestesia,perdut,0.162,318,,2223.12,,False,,,,
1821,Las Palmas,Bioseguridad,perdut,0.921,103,,879.2,,False,,,,
1842,Pontevedra,Anestesia,perdut,0.0,489,,2223.12,,False,,,,
1842,Pontevedra,Bioseguridad,perdut,0.0,798,,1086.44,,False,,,,
1844,Pontevedra,Anestesia,promiscu,0.66,39,,2223.12,,False,,,,
1865,Las Palmas,Anestesia,perdut,0.133,284,,2223.12,,False,,,,
1889,Las Palmas,Anestesia,perdut,0.0,1089,,1802.36,,False,,,,
1895,Las Palmas,Anestesia,promiscu,0.453,25,138.0,2223.12,-1.45,False,,,,
1897,Las Palmas,Anestesia,promiscu,0.569,33,336.2,2223.12,-2.35,False,,,,
1908,Las Palmas,Anestesia,perdut,0.0,406,,3410.04,,False,,,,
1909,Las Palmas,Anestesia,promiscu,0.287,59,270.6,2223.12,-2.93,False,,,,
1909,Las Palmas,Bioseguridad,perdut,0.732,168,,1086.44,,False,,,,
1954,Las Palmas,Anestesia,perdut,0.607,91,,4546.72,,False,,,,
1954,Las Palmas,Bioseguridad,perdut,0.393,91,,2223.12,,False,,,,
1963,Salamanca,Anestesia,perdut,0.3,320,,2223.12,,False,,,,
1963,Salamanca,Bioseguridad,promiscu,0.439,39,818.5,1086.44,-5.43,False,,,,
1964,Salamanca,Anestesia,fidel,0.817,66,288.2,2223.12,-1.32,False,,,,
1964,Salamanca,Bioseguridad,perdut,0.0,678,,1086.44,,False,,,,
1998,Sta.Cruz Tenerife,Anestesia,perdut,1.144,110,,2223.12,,False,,,,
2074,Pontevedra,Anestesia,perdut,0.423,206,,3410.04,,False,,,,
2074,Pontevedra,Bioseguridad,en_risc,3.464,25,63.8,1667.34,-0.75,True,caiguda_share,0.0,mitja,"Client en_risc de Bioseguridad (Share 12m: 346%). El seu cicle de compra és de 64 dies. Porta 25 dies sense comprar (-39 dies de coll). Tenia share alt, però en els últims 3 mesos ha caigut substancialment."
2083,Pontevedra,Anestesia,perdut,0.0,1007,,2223.12,,False,,,,
2095,Pontevedra,Anestesia,perdut,0.393,249,,1802.36,,False,,,,
2114,Pontevedra,Anestesia,perdut,0.0,628,,2223.12,,False,,,,
2121,Pontevedra,Anestesia,perdut,0.318,313,,1802.36,,False,,,,
2141,Pontevedra,Anestesia,perdut,0.0,480,,2223.12,,False,,,,
2143,Pontevedra,Anestesia,promiscu,0.598,27,290.5,2223.12,-1.26,False,,,,
2143,Pontevedra,Bioseguridad,perdut,0.0,572,,1086.44,,False,,,,
2148,Pontevedra,Anestesia,en_risc,0.867,52,56.5,9093.44,-0.18,True,caiguda_share,1205.95,mitja,"Client en_risc de Anestesia (Share 12m: 87%). El seu cicle de compra és de 57 dies. Porta 52 dies sense comprar (-5 dies de coll). Tenia share alt, però en els últims 3 mesos ha caigut substancialment."
2148,Pontevedra,Bioseguridad,fidel,4.292,39,66.0,4446.24,-0.61,False,,,,
2167,Pontevedra,Anestesia,perdut,0.718,153,,2223.12,,False,,,,
2170,Pontevedra,Bioseguridad,perdut,0.439,199,,1086.44,,False,,,,
2179,Pontevedra,Anestesia,promiscu,0.453,66,203.0,3410.04,-4.95,False,,,,
2179,Pontevedra,Bioseguridad,perdut,0.0,1315,,1667.34,,False,,,,
2200,Cantabria,Anestesia,perdut,0.522,334,,2223.12,,False,,,,
2203,Cantabria,Bioseguridad,marginal,0.0,915,,1086.44,,False,,,,
2218,Cantabria,Anestesia,perdut,0.996,279,,2223.12,,False,,,,
2227,Cantabria,Anestesia,fidel,1.347,90,188.3,1802.36,-2.18,False,,,,
2228,Cantabria,Anestesia,fidel,0.804,88,202.5,2223.12,-2.64,False,,,,
2230,Cantabria,Bioseguridad,marginal,0.0,1370,,1667.34,,False,,,,
2234,Cantabria,Anestesia,marginal,0.0,1718,,1802.36,,False,,,,
2235,Cantabria,Anestesia,fidel,0.808,59,382.0,2223.12,-19.03,False,,,,
2242,Cantabria,Anestesia,perdut,0.0,1285,,4546.72,,False,,,,
2242,Cantabria,Bioseguridad,perdut,0.0,1272,,2223.12,,False,,,,
2244,Cantabria,Anestesia,fidel,1.033,6,216.7,1802.36,-2.61,False,,,,
2244,Cantabria,Bioseguridad,perdut,0.0,460,,879.2,,False,,,,
2245,Cantabria,Anestesia,perdut,0.326,168,,3410.04,,False,,,,
2246,Cantabria,Anestesia,perdut,0.309,94,,2223.12,,False,,,,
2246,Cantabria,Bioseguridad,perdut,1.957,94,,1086.44,,False,,,,
2275,Cantabria,Bioseguridad,perdut,0.0,1312,,1086.44,,False,,,,
2297,Sta.Cruz Tenerife,Anestesia,perdut,0.102,210,,1802.36,,False,,,,
2305,Sta.Cruz Tenerife,Anestesia,fidel,1.297,27,70.2,2223.12,-1.53,False,,,,
2305,Sta.Cruz Tenerife,Bioseguridad,nou,0.062,27,,1086.44,,False,,,,
2307,Sta.Cruz Tenerife,Anestesia,perdut,0.0,391,,2223.12,,False,,,,
2307,Sta.Cruz Tenerife,Bioseguridad,perdut,0.0,1236,,1086.44,,False,,,,
2309,Sta.Cruz Tenerife,Anestesia,marginal,0.126,11,,2223.12,,False,,,,
2309,Sta.Cruz Tenerife,Bioseguridad,perdut,1.326,94,,1086.44,,False,,,,
2335,Cantabria,Anestesia,perdut,0.0,1180,,2223.12,,False,,,,
2345,Sta.Cruz Tenerife,Anestesia,marginal,0.163,84,,3410.04,,False,,,,
2348,Sta.Cruz Tenerife,Anestesia,promiscu,0.501,39,287.5,3410.04,-2.02,False,,,,
2353,Sta.Cruz Tenerife,Anestesia,perdut,0.0,1152,,2223.12,,False,,,,
2358,Sta.Cruz Tenerife,Anestesia,perdut,0.187,320,,2223.12,,False,,,,
2363,Sta.Cruz Tenerife,Anestesia,perdut,0.362,200,,3410.04,,False,,,,
2370,Sta.Cruz Tenerife,Anestesia,perdut,0.0,1076,,3410.04,,False,,,,
2370,Sta.Cruz Tenerife,Bioseguridad,fidel,0.963,81,163.3,1667.34,-0.57,False,,,,
2372,Sta.Cruz Tenerife,Anestesia,perdut,0.288,115,,1802.36,,False,,,,
2373,Sta.Cruz Tenerife,Anestesia,en_risc,0.445,84,325.8,3410.04,-1.02,True,caiguda_share,1892.54,mitja,"Client en_risc de Anestesia (Share 12m: 45%). El seu cicle de compra és de 326 dies. Porta 84 dies sense comprar (-242 dies de coll). Tenia share alt, però en els últims 3 mesos ha caigut substancialment."
2376,Sta.Cruz Tenerife,Anestesia,perdut,0.174,273,,2223.12,,False,,,,
2384,Sta.Cruz Tenerife,Bioseguridad,marginal,0.0,1210,,1086.44,,False,,,,
2387,Sta.Cruz Tenerife,Anestesia,promiscu,0.254,53,383.5,3410.04,-1.84,False,,,,
2391,Sta.Cruz Tenerife,Bioseguridad,marginal,0.0,1785,,1667.34,,False,,,,
2392,Sta.Cruz Tenerife,Bioseguridad,fidel,0.777,70,295.2,1086.44,-1.36,False,,,,
2406,Sta.Cruz Tenerife,Anestesia,marginal,0.134,41,,3410.04,,False,,,,
2406,Sta.Cruz Tenerife,Bioseguridad,promiscu,0.364,26,493.0,1667.34,-1.09,False,,,,
2424,Sta.Cruz Tenerife,Anestesia,perdut,0.25,305,,2223.12,,False,,,,
2424,Sta.Cruz Tenerife,Bioseguridad,perdut,0.522,305,,1086.44,,False,,,,
2426,Sta.Cruz Tenerife,Anestesia,promiscu,0.553,17,103.8,4546.72,-1.27,False,,,,
2426,Sta.Cruz Tenerife,Bioseguridad,fidel,0.831,60,83.3,2223.12,-0.57,False,,,,
2427,Sta.Cruz Tenerife,Anestesia,perdut,0.381,102,,2223.12,,False,,,,
2427,Sta.Cruz Tenerife,Bioseguridad,perdut,0.298,102,,1086.44,,False,,,,
2432,Sta.Cruz Tenerife,Anestesia,perdut,0.102,322,,1802.36,,False,,,,
2432,Sta.Cruz Tenerife,Bioseguridad,perdut,0.461,322,,879.2,,False,,,,
2435,Sta.Cruz Tenerife,Anestesia,fidel,0.932,18,59.3,5683.4,-0.98,False,,,,
2435,Sta.Cruz Tenerife,Bioseguridad,perdut,0.172,332,,2778.9,,False,,,,
2437,Sta.Cruz Tenerife,Anestesia,perdut,0.164,132,,2223.12,,False,,,,
2439,Sta.Cruz Tenerife,Anestesia,perdut,0.0,458,,2223.12,,False,,,,
2439,Sta.Cruz Tenerife,Bioseguridad,marginal,0.0,1357,,1086.44,,False,,,,
2442,Madrid,Anestesia,fidel,0.765,32,734.5,1802.36,-5.95,False,,,,
2498,Madrid,Bioseguridad,perdut,0.36,187,,1667.34,,False,,,,
2503,Madrid,Anestesia,perdut,0.39,110,,3410.04,,False,,,,
2521,Madrid,Anestesia,perdut,0.902,187,,2223.12,,False,,,,
2525,Madrid,Anestesia,perdut,0.376,213,,2223.12,,False,,,,
2525,Madrid,Bioseguridad,en_risc,0.298,286,,1086.44,,False,,,,
2546,Madrid,Bioseguridad,fidel,2.088,11,138.6,1086.44,-1.82,False,,,,
2555,Madrid,Anestesia,promiscu,0.252,27,193.8,2223.12,-2.28,False,,,,
2555,Madrid,Bioseguridad,perdut,0.0,992,,1086.44,,False,,,,
2562,Madrid,Anestesia,marginal,0.218,61,,2223.12,,False,,,,
2562,Madrid,Bioseguridad,fidel,0.993,61,214.5,1086.44,-0.85,False,,,,
2582,Madrid,Bioseguridad,promiscu,0.543,68,558.3,879.2,-8.55,False,,,,
2587,Madrid,Bioseguridad,perdut,0.0,759,,1086.44,,False,,,,
2604,Madrid,Anestesia,perdut,0.12,171,,2223.12,,False,,,,
2645,Madrid,Anestesia,fidel,1.128,87,90.7,2223.12,-0.26,False,,,,
2667,Madrid,Anestesia,marginal,0.0,578,,2223.12,,False,,,,
2667,Madrid,Bioseguridad,perdut,0.186,117,,1086.44,,False,,,,
2680,Madrid,Anestesia,en_risc,0.559,27,117.5,2223.12,-2.1,True,caiguda_share,979.5,mitja,"Client en_risc de Anestesia (Share 12m: 56%). El seu cicle de compra és de 117 dies. Porta 27 dies sense comprar (-90 dies de coll). Tenia share alt, però en els últims 3 mesos ha caigut substancialment."
2680,Madrid,Bioseguridad,fidel,1.861,27,92.7,1086.44,-1.5,False,,,,
2709,Madrid,Anestesia,perdut,0.591,350,,2223.12,,False,,,,
2709,Madrid,Bioseguridad,perdut,1.657,208,,1086.44,,False,,,,
2753,Madrid,Anestesia,perdut,0.319,269,,2223.12,,False,,,,
2753,Madrid,Bioseguridad,promiscu,0.573,80,323.4,1086.44,-1.41,False,,,,
2759,,Anestesia,perdut,0.0,943,,2223.12,,False,,,,
2771,Madrid,Anestesia,perdut,0.638,200,,2223.12,,False,,,,
2771,Madrid,Bioseguridad,marginal,0.0,1067,,1086.44,,False,,,,
2784,Madrid,Bioseguridad,perdut,0.366,216,,1086.44,,False,,,,
2785,Madrid,Anestesia,perdut,0.266,97,,2223.12,,False,,,,
2788,Madrid,Bioseguridad,perdut,0.0,391,,1086.44,,False,,,,
2807,Madrid,Anestesia,perdut,0.464,322,,2223.12,,False,,,,
2807,Madrid,Bioseguridad,perdut,0.0,413,,1086.44,,False,,,,
2811,Madrid,Anestesia,fidel,0.904,12,94.6,6820.08,-1.66,False,,,,
2813,Madrid,Anestesia,en_risc,1.858,53,57.0,2223.12,-0.17,True,caiguda_share,0.0,mitja,"Client en_risc de Anestesia (Share 12m: 186%). El seu cicle de compra és de 57 dies. Porta 53 dies sense comprar (-4 dies de coll). Tenia share alt, però en els últims 3 mesos ha caigut substancialment."
2813,Madrid,Bioseguridad,marginal,0.0,1435,,1086.44,,False,,,,
2821,Madrid,Anestesia,perdut,0.416,172,,2223.12,,False,,,,
2821,Madrid,Bioseguridad,perdut,0.302,172,,1086.44,,False,,,,
2846,Madrid,Anestesia,perdut,0.319,95,,2223.12,,False,,,,
2858,Madrid,Anestesia,perdut,0.312,108,,3410.04,,False,,,,
2861,Madrid,Anestesia,marginal,0.124,18,,2223.12,,False,,,,
2873,Madrid,Anestesia,perdut,0.0,475,,2223.12,,False,,,,
2882,Madrid,Anestesia,perdut,0.0,1755,,1802.36,,False,,,,
2884,Madrid,Anestesia,perdut,0.0,824,,2223.12,,False,,,,
2887,Madrid,Anestesia,perdut,0.725,110,,4546.72,,False,,,,
2887,Madrid,Bioseguridad,perdut,0.719,263,,2223.12,,False,,,,
2928,Málaga,Anestesia,marginal,0.0,1566,,3410.04,,False,,,,
2946,Málaga,Anestesia,perdut,0.0,1271,,2223.12,,False,,,,
2959,Madrid,Anestesia,perdut,0.375,199,,2223.12,,False,,,,
2973,Madrid,Anestesia,perdut,0.431,91,,2223.12,,False,,,,
2973,Madrid,Bioseguridad,marginal,0.186,27,,1086.44,,False,,,,
2975,Madrid,Anestesia,perdut,1.021,179,,3410.04,,False,,,,
2975,Madrid,Bioseguridad,perdut,0.0,405,,1667.34,,False,,,,
2991,Madrid,Anestesia,promiscu,0.7,25,145.9,1802.36,-0.75,False,,,,
