Id_Cliente,Provincia,Familia_Potencial,segment,share_12m,potencial_anual_eur,euros_12m,gap_eur,dies_sense_compra,num_intervals,data_alerta,dies_retard,z_score,cicle_mig_dies,proxim_pedido_esperat,dies_stock,tipus_alerta,finestra_captura_dies,canal,urgencia,prioritat,motiu
42549,Toledo,Anestesia,promiscu,0.321,3410.04,1094.95,2315.09,181,6,2025-12-01,57,1.13,123.7,2025-10-04,,finestra_captura,12.0,delegat,alta,640.24,Client PROMISCU d'Anestesia en FINESTRA DE CAPTURA. Cicle: 124 dies. Share: 32%. Gap: 2315€/any. Retard en reposició urgent.
1000078140,Valencia,Anestesia,promiscu,0.691,3410.04,2357.27,1052.77,305,1,2025-12-01,159,0.0,146.0,2025-06-25,,finestra_captura,14.0,delegat,alta,631.66,Client PROMISCU d'Anestesia en FINESTRA DE CAPTURA. Cicle: 146 dies. Share: 69%. Gap: 1053€/any. Retard en reposició urgent.
21826,Huelva,Anestesia,promiscu,0.516,5683.4,2934.21,2749.19,173,2,2025-12-01,47,0.99,125.5,2025-10-14,,finestra_captura,13.0,delegat,alta,617.75,Client PROMISCU d'Anestesia en FINESTRA DE CAPTURA. Cicle: 126 dies. Share: 52%. Gap: 2749€/any. Retard en reposició urgent.
1000101094,Cádiz,Bioseguridad,promiscu,0.236,1667.34,393.2,1274.14,348,1,2025-12-01,152,0.0,196.0,2025-07-02,,finestra_captura,14.0,delegat,alta,592.87,Client PROMISCU d'Bioseguridad en FINESTRA DE CAPTURA. Cicle: 196 dies. Share: 24%. Gap: 1274€/any. Retard en reposició urgent.
1000056618,Barcelona,Anestesia,nou,0.131,3410.04,445.98,2964.06,0,1,2025-12-01,0,,53.0,,,monitoritzar,,televenda,baixa,592.81,Client NOU (53 dies d'historial). Primers pedidos registrats. Fer seguiment de consolidació per assegurar fidelització.
1000102138,Valencia,Anestesia,nou,0.138,3410.04,471.16,2938.88,28,1,2025-12-01,0,,11.0,,,monitoritzar,,televenda,baixa,587.78,Client NOU (39 dies d'historial). Primers pedidos registrats. Fer seguiment de consolidació per assegurar fidelització.
1000082339,Sevilla,Anestesia,fidel,0.786,3410.04,2680.33,729.71,262,2,2025-12-01,117,1.15,144.5,2025-08-05,0,reposicio_pendent,,televenda,baixa,583.77,Client FIDEL d'Anestesia amb lleuger retard (117 dies). Cicle habitual: 144 dies. Proper pedido: 0 dies enrere. Seguiment rutina.
42966,Alicante,Bioseguridad,promiscu,0.417,1667.34,694.5,972.84,356,1,2025-12-01,341,0.0,15.0,2024-12-25,,finestra_captura,3.0,delegat,alta,583.7,Client PROMISCU d'Bioseguridad en FINESTRA DE CAPTURA. Cicle: 15 dies. Share: 42%. Gap: 973€/any. Retard en reposició urgent.
42945,Madrid,Anestesia,promiscu,0.47,1802.36,847.46,954.9,255,2,2025-12-01,180,10.29,74.5,2025-06-03,,finestra_captura,7.0,delegat,alta,572.94,Client PROMISCU d'Anestesia en FINESTRA DE CAPTURA. Cicle: 74 dies. Share: 47%. Gap: 955€/any. Retard en reposició urgent.
1000100366,Sta.Cruz Tenerife,Anestesia,promiscu,0.457,3410.04,1558.41,1851.63,237,4,2025-12-01,79,1.09,157.2,2025-09-12,,finestra_captura,14.0,delegat,alta,558.14,Client PROMISCU d'Anestesia en FINESTRA DE CAPTURA. Cicle: 157 dies. Share: 46%. Gap: 1852€/any. Retard en reposició urgent.
1000100564,Madrid,Anestesia,fidel,0.847,4546.72,3851.04,695.68,263,3,2025-12-01,113,12.0,150.0,2025-08-10,0,risc_fuga,,delegat,alta,556.54,"Client FIDEL d'Anestesia amb risc de FUGA. Cicle habitual: 150 dies. Porta 263 dies sense comprar (113 dies de retard, z=12.0). Stock exhaurit. Prioritat màxima."
35959,Alicante,Bioseguridad,promiscu,0.452,1667.34,753.22,914.12,178,2,2025-12-01,89,1.38,88.5,2025-09-02,,finestra_captura,9.0,delegat,alta,548.47,Client PROMISCU d'Bioseguridad en FINESTRA DE CAPTURA. Cicle: 88 dies. Share: 45%. Gap: 914€/any. Retard en reposició urgent.
1000081962,Sevilla,Anestesia,fugat,0.581,4546.72,2639.99,1906.73,749,8,2025-12-01,623,,125.6,,,fugat,,delegat,mitjana,545.61,"Client FUGAT. Porta MÉS D'UN ANY sense comprar (749 dies). Historial previ de 1754 dies. Requereix recuperació directa per delegat. Gap potencial: 3,637€/any."
1000074435,,Anestesia,fugat,1.0,4546.72,6048.6,0.0,430,15,2025-12-01,340,,89.1,,,fugat,,delegat,mitjana,545.61,"Client FUGAT. Porta MÉS D'UN ANY sense comprar (430 dies). Historial previ de 1767 dies. Requereix recuperació directa per delegat. Gap potencial: 3,637€/any."
1000081418,Sevilla,Anestesia,fugat,1.0,4546.72,4774.98,0.0,1182,3,2025-12-01,1018,,163.3,,,fugat,,delegat,mitjana,545.61,"Client FUGAT. Porta MÉS D'UN ANY sense comprar (1182 dies). Historial previ de 1672 dies. Requereix recuperació directa per delegat. Gap potencial: 3,637€/any."
41531,Vizcaya,Anestesia,fugat,1.0,4546.72,4786.47,0.0,1266,4,2025-12-01,1135,,130.5,,,fugat,,delegat,mitjana,545.61,"Client FUGAT. Porta MÉS D'UN ANY sense comprar (1266 dies). Historial previ de 1788 dies. Requereix recuperació directa per delegat. Gap potencial: 3,637€/any."
11406,León,Anestesia,fugat,1.0,4546.72,4890.73,0.0,1029,3,2025-12-01,807,,221.7,,,fugat,,delegat,mitjana,545.61,"Client FUGAT. Porta MÉS D'UN ANY sense comprar (1029 dies). Historial previ de 1694 dies. Requereix recuperació directa per delegat. Gap potencial: 3,637€/any."
4464,Madrid,Anestesia,fugat,0.84,4546.72,3817.77,728.95,1077,3,2025-12-01,874,,202.3,,,fugat,,delegat,mitjana,545.61,"Client FUGAT. Porta MÉS D'UN ANY sense comprar (1077 dies). Historial previ de 1684 dies. Requereix recuperació directa per delegat. Gap potencial: 3,637€/any."
1000051951,Baleares,Anestesia,fugat,0.94,4546.72,4272.06,274.66,860,44,2025-12-01,838,,21.1,,,fugat,,delegat,mitjana,545.61,"Client FUGAT. Porta MÉS D'UN ANY sense comprar (860 dies). Historial previ de 1789 dies. Requereix recuperació directa per delegat. Gap potencial: 3,637€/any."
40047,Palencia,Anestesia,fugat,1.0,4546.72,10004.27,0.0,1084,5,2025-12-01,957,,126.8,,,fugat,,delegat,mitjana,545.61,"Client FUGAT. Porta MÉS D'UN ANY sense comprar (1084 dies). Historial previ de 1718 dies. Requereix recuperació directa per delegat. Gap potencial: 3,637€/any."
41045,Vizcaya,Anestesia,fugat,0.957,4546.72,4352.47,194.25,1271,3,2025-12-01,1140,,130.7,,,fugat,,delegat,mitjana,545.61,"Client FUGAT. Porta MÉS D'UN ANY sense comprar (1271 dies). Historial previ de 1663 dies. Requereix recuperació directa per delegat. Gap potencial: 3,637€/any."
24879,Baleares,Anestesia,fugat,0.496,4546.72,2255.91,2290.81,670,7,2025-12-01,511,,159.0,,,fugat,,delegat,mitjana,545.61,"Client FUGAT. Porta MÉS D'UN ANY sense comprar (670 dies). Historial previ de 1783 dies. Requereix recuperació directa per delegat. Gap potencial: 3,637€/any."
1000058131,A Coruña,Anestesia,fugat,0.478,4546.72,2174.01,2372.71,776,3,2025-12-01,445,,330.7,,,fugat,,delegat,mitjana,545.61,"Client FUGAT. Porta MÉS D'UN ANY sense comprar (776 dies). Historial previ de 1768 dies. Requereix recuperació directa per delegat. Gap potencial: 3,637€/any."
1000100985,Alicante,Anestesia,fidel,0.801,3410.04,2730.45,679.59,286,1,2025-12-01,16,0.0,270.0,2025-11-15,0,reposicio_pendent,,televenda,baixa,543.67,Client FIDEL d'Anestesia amb lleuger retard (16 dies). Cicle habitual: 270 dies. Proper pedido: 0 dies enrere. Seguiment rutina.
42534,Jaén,Bioseguridad,promiscu,0.447,3334.68,1490.62,1844.06,98,3,2025-12-01,32,0.35,65.3,2025-10-29,,finestra_captura,7.0,delegat,alta,541.93,Client PROMISCU d'Bioseguridad en FINESTRA DE CAPTURA. Cicle: 65 dies. Share: 45%. Gap: 1844€/any. Retard en reposició urgent.
26923,Valencia,Anestesia,nou,0.208,3410.04,708.7,2701.34,0,0,2025-12-01,0,,,,,monitoritzar,,televenda,baixa,540.27,Client NOU (0 dies d'historial). Primers pedidos registrats. Fer seguiment de consolidació per assegurar fidelització.
1000100610,Pontevedra,Anestesia,promiscu,0.239,1802.36,430.02,1372.34,306,2,2025-12-01,121,5.9,184.5,2025-08-01,,finestra_captura,14.0,delegat,alta,540.01,Client PROMISCU d'Anestesia en FINESTRA DE CAPTURA. Cicle: 184 dies. Share: 24%. Gap: 1372€/any. Retard en reposició urgent.
42909,Toledo,Anestesia,fidel,0.7,2223.12,1556.4,666.72,56,10,2025-12-01,12,0.39,43.9,2025-11-18,0,reposicio_pendent,,televenda,baixa,533.38,Client FIDEL d'Anestesia amb lleuger retard (12 dies). Cicle habitual: 44 dies. Proper pedido: 0 dies enrere. Seguiment rutina.
40383,Toledo,Anestesia,fidel,0.702,2223.12,1559.71,663.41,88,30,2025-12-01,32,0.86,55.8,2025-10-29,0,reposicio_pendent,,televenda,baixa,530.73,Client FIDEL d'Anestesia amb lleuger retard (32 dies). Cicle habitual: 56 dies. Proper pedido: 0 dies enrere. Seguiment rutina.
1000102225,Barcelona,Anestesia,nou,0.533,5683.4,3031.88,2651.52,21,3,2025-12-01,0,,1.3,,,monitoritzar,,televenda,baixa,530.3,Client NOU (25 dies d'historial). Primers pedidos registrats. Fer seguiment de consolidació per assegurar fidelització.
12481,Granada,Anestesia,promiscu,0.208,3410.04,708.12,2701.92,284,3,2025-12-01,68,0.67,215.7,2025-09-23,,finestra_captura,14.0,delegat,alta,511.15,Client PROMISCU d'Anestesia en FINESTRA DE CAPTURA. Cicle: 216 dies. Share: 21%. Gap: 2702€/any. Retard en reposició urgent.
42821,Las Palmas,Anestesia,fidel,0.816,3410.04,2783.12,626.92,217,2,2025-12-01,15,0.21,202.0,2025-11-16,0,reposicio_pendent,,televenda,baixa,501.54,Client FIDEL d'Anestesia amb lleuger retard (15 dies). Cicle habitual: 202 dies. Proper pedido: 0 dies enrere. Seguiment rutina.
123,Sevilla,Bioseguridad,nou,0.117,2778.9,324.05,2454.85,34,0,2025-12-01,0,,,,,monitoritzar,,televenda,baixa,490.97,Client NOU (34 dies d'historial). Primers pedidos registrats. Fer seguiment de consolidació per assegurar fidelització.
37654,Toledo,Anestesia,fidel,0.731,2223.12,1624.45,598.67,90,38,2025-12-01,45,1.78,44.0,2025-10-16,0,reposicio_endarrerida,,televenda,mitjana,478.94,Client FIDEL d'Anestesia amb reposició endarrerida. Cicle habitual: 44 dies. Retard de 45 dies (z=1.8). Proper pedido esperat fa 45 dies. Contactar per confirmar estat.
42170,Málaga,Anestesia,promiscu,0.398,2223.12,884.29,1338.83,301,6,2025-12-01,112,1.52,188.5,2025-08-10,,finestra_captura,14.0,delegat,alta,477.29,Client PROMISCU d'Anestesia en FINESTRA DE CAPTURA. Cicle: 188 dies. Share: 40%. Gap: 1339€/any. Retard en reposició urgent.
43009,Toledo,Bioseguridad,promiscu,0.271,1086.44,294.63,791.81,180,1,2025-12-01,125,0.0,55.0,2025-07-29,,finestra_captura,6.0,delegat,alta,475.09,Client PROMISCU d'Bioseguridad en FINESTRA DE CAPTURA. Cicle: 55 dies. Share: 27%. Gap: 792€/any. Retard en reposició urgent.
42469,Málaga,Anestesia,fugat,0.077,3410.04,261.9,3148.14,1044,4,2025-12-01,1036,,7.8,,,fugat,,delegat,mitjana,472.22,"Client FUGAT. Porta MÉS D'UN ANY sense comprar (1044 dies). Historial previ de 1075 dies. Requereix recuperació directa per delegat. Gap potencial: 3,148€/any."
36474,A Coruña,Bioseguridad,fugat,0.431,3890.46,1678.4,2212.06,1061,3,2025-12-01,831,,229.3,,,fugat,,delegat,mitjana,466.86,"Client FUGAT. Porta MÉS D'UN ANY sense comprar (1061 dies). Historial previ de 1749 dies. Requereix recuperació directa per delegat. Gap potencial: 3,112€/any."
41580,Ciudad Real,Anestesia,promiscu,0.53,3410.04,1806.62,1603.42,90,28,2025-12-01,29,0.64,60.5,2025-11-01,,finestra_captura,6.0,delegat,alta,460.88,Client PROMISCU d'Anestesia en FINESTRA DE CAPTURA. Cicle: 61 dies. Share: 53%. Gap: 1603€/any. Retard en reposició urgent.
42549,Toledo,Bioseguridad,promiscu,0.444,1667.34,740.11,927.23,206,6,2025-12-01,93,1.76,112.3,2025-08-29,,finestra_captura,11.0,delegat,alta,460.59,Client PROMISCU d'Bioseguridad en FINESTRA DE CAPTURA. Cicle: 112 dies. Share: 44%. Gap: 927€/any. Retard en reposició urgent.
1000077444,Valencia,Anestesia,fugat,0.941,4546.72,4276.71,270.01,516,4,2025-12-01,236,,280.0,,,fugat,,delegat,mitjana,459.87,"Client FUGAT. Porta MÉS D'UN ANY sense comprar (516 dies). Historial previ de 1636 dies. Requereix recuperació directa per delegat. Gap potencial: 3,637€/any."
1000042835,Badajoz,Anestesia,nou,0.04,2223.12,88.58,2134.54,0,0,2025-12-01,0,,,,,monitoritzar,,televenda,baixa,426.91,Client NOU (0 dies d'historial). Primers pedidos registrats. Fer seguiment de consolidació per assegurar fidelització.
42724,Granada,Anestesia,fidel,0.844,3410.04,2876.93,533.11,210,4,2025-12-01,89,3.57,120.8,2025-09-02,0,risc_fuga,,delegat,alta,426.49,"Client FIDEL d'Anestesia amb risc de FUGA. Cicle habitual: 121 dies. Porta 210 dies sense comprar (89 dies de retard, z=3.6). Stock exhaurit. Prioritat màxima."
42220,Madrid,Anestesia,fidel,0.761,2223.12,1692.8,530.32,49,27,2025-12-01,0,0.0,48.9,2025-11-30,0 dies,reposicio_preventiva,,delegat,alta,424.26,Client FIDEL d'Anestesia. Proper pedido estimat dins de 0 dies (cicle habitual: 49 dies). Stock estimat proper a l'esgotament. Contactar per anticipar reposició.
1000100637,Barcelona,Anestesia,promiscu,0.373,3410.04,1272.16,2137.88,166,4,2025-12-01,41,1.14,124.2,2025-10-20,,finestra_captura,12.0,delegat,alta,423.27,Client PROMISCU d'Anestesia en FINESTRA DE CAPTURA. Cicle: 124 dies. Share: 37%. Gap: 2138€/any. Retard en reposició urgent.
40294,Toledo,Anestesia,promiscu,0.588,3410.04,2005.38,1404.66,87,29,2025-12-01,29,0.83,57.8,2025-11-01,,finestra_captura,6.0,delegat,alta,423.16,Client PROMISCU d'Anestesia en FINESTRA DE CAPTURA. Cicle: 58 dies. Share: 59%. Gap: 1405€/any. Retard en reposició urgent.
1000081354,Córdoba,Anestesia,promiscu,0.267,3410.04,910.76,2499.28,178,2,2025-12-01,39,0.32,138.5,2025-10-22,,finestra_captura,14.0,delegat,alta,422.26,Client PROMISCU d'Anestesia en FINESTRA DE CAPTURA. Cicle: 138 dies. Share: 27%. Gap: 2499€/any. Retard en reposició urgent.
1000081036,Barcelona,Anestesia,nou,0.051,2223.12,112.95,2110.17,66,0,2025-12-01,0,,,,,monitoritzar,,televenda,baixa,422.03,Client NOU (66 dies d'historial). Primers pedidos registrats. Fer seguiment de consolidació per assegurar fidelització.
