Id_Cliente,Familia_Potencial,any_mes,euros_venuts,num_pedidos,unitats,en_campana,anyo,mes,euros_12m,euros_3m,Potencial_EUR,share_12m,share_3m_annualized,gap_eur,cicle_mig_dies,cicle_std_dies,num_intervals,data_ultim_pedido,data_primer_pedido,dies_sense_compra,dies_historial,tendencia_negativa,segment,segment_anterior
118,Anestesia,2025-06,0.0,2,15,0,2025,6,2391.9300000000003,1570.1299999999999,3410.04,0.7014375197944893,1.0,1018.1099999999997,364.5,211.34509693863257,4,2025-06-05,2021-06-08,179,1637,False,fidel,
119,Anestesia,2025-11,824.63,1,15,0,2025,11,21411.39,3851.8500000000004,3410.04,1.0,1.0,0.0,159.0,102.48192745330981,11,2025-11-13,2021-01-29,18,1767,False,fidel,
123,Anestesia,2025-10,1328.79,1,15,0,2025,10,9076.96,3650.92,5683.4,1.0,1.0,0.0,245.57142857142858,107.3377275476896,7,2025-10-28,2021-02-12,34,1753,False,fidel,
123,Bioseguridad,2025-10,324.05,1,3,0,2025,10,324.05,324.05,2778.9,0.11661088920076289,0.46644355680305155,2454.85,,,0,2025-10-28,2025-10-28,34,34,False,nou,
149,Anestesia,2025-04,824.63,1,15,0,2025,4,1625.24,1625.24,2223.12,0.7310626506891217,1.0,597.8799999999999,302.0,0.0,1,2025-04-23,2024-06-25,222,524,False,fidel,
149,Bioseguridad,2025-11,972.14,1,12,0,2025,11,5692.68,3304.8399999999997,1086.44,1.0,1.0,0.0,415.75,156.41830935028034,4,2025-11-04,2021-04-16,27,1690,False,fidel,
163,Anestesia,2021-07,275.57,1,2,0,2021,7,1041.6,1041.6,2223.12,0.46853071359170895,1.0,1181.52,85.0,83.0,2,2021-07-22,2021-02-02,1593,1763,False,fugat,
171,Anestesia,2025-05,1063.02,1,10,0,2025,5,4069.0,3076.95,3410.04,1.0,1.0,0.0,508.0,58.75939641169459,3,2025-05-13,2021-03-11,202,1726,False,fidel,
188,Anestesia,2025-05,590.57,1,5,0,2025,5,4115.900000000001,2445.9300000000003,2223.12,1.0,1.0,0.0,260.6666666666667,136.2933926824367,6,2025-05-16,2021-02-02,199,1763,False,fidel,
188,Bioseguridad,2024-10,586.11,1,12,0,2024,10,3361.4,1669.7000000000003,1086.44,1.0,1.0,0.0,270.2,124.56709035696387,5,2024-10-02,2021-01-20,425,1776,False,fugat,
238,Anestesia,2025-09,1771.71,1,20,0,2025,9,21358.84,5663.61,4546.72,1.0,1.0,0.0,78.4090909090909,48.96998996687024,22,2025-09-29,2021-01-08,63,1788,False,fidel,
238,Bioseguridad,2025-09,270.04,1,4,0,2025,9,877.6300000000001,877.6300000000001,2223.12,0.3947740112994351,1.0,1345.4899999999998,97.0,22.0,2,2025-09-29,2025-03-19,63,257,False,promiscu,
290,Anestesia,2025-05,377.43,1,2,0,2025,5,3252.17,733.25,3410.04,0.9537043553741306,0.860107212818618,157.8699999999999,146.3,99.45154599100007,10,2025-05-30,2021-05-28,185,1648,False,fidel,
290,Bioseguridad,2021-10,269.98,1,6,0,2021,10,269.98,269.98,1667.34,0.16192258327635636,0.6476903331054255,1397.36,,,0,2021-10-15,2021-10-15,1508,1508,False,fugat,
300,Anestesia,2025-11,386.92,1,3,0,2025,11,3101.61,1160.76,2223.12,1.0,1.0,0.0,101.44444444444444,115.95795321400014,9,2025-11-21,2023-05-23,10,923,False,fidel,
351,Anestesia,2024-10,2251.0,1,22,0,2024,10,19368.77,4436.6900000000005,5683.4,1.0,1.0,0.0,173.14285714285714,160.28138522292474,7,2024-10-22,2021-06-28,405,1617,False,fugat,
356,Anestesia,2025-04,1194.33,1,15,0,2025,4,6848.23,3598.6,2223.12,1.0,1.0,0.0,295.0,48.838509395762685,5,2025-04-08,2021-03-25,237,1712,False,fidel,
367,Anestesia,2025-05,925.48,1,15,0,2025,5,4571.87,2823.71,3410.04,1.0,1.0,0.0,304.4,154.8477962387583,5,2025-05-12,2021-03-12,203,1725,False,fidel,
367,Bioseguridad,2025-01,810.12,1,12,0,2025,1,1596.5,1596.5,1667.34,0.9575131646814687,1.0,70.83999999999992,246.0,0.0,1,2025-01-15,2024-05-14,320,566,False,fidel,
369,Bioseguridad,2024-10,541.65,1,13,0,2024,10,1373.75,1373.75,1086.44,1.0,1.0,0.0,413.0,283.9753510430087,3,2024-10-24,2021-06-03,403,1642,False,fugat,
376,Anestesia,2024-03,57.81,1,1,1,2024,3,147.36,147.36,3410.04,0.04321356934229511,0.17285427736918044,3262.68,532.0,0.0,1,2024-03-04,2022-09-19,637,1169,False,fugat,
376,Bioseguridad,2023-11,907.93,1,24,0,2023,11,3322.05,2025.23,1667.34,1.0,1.0,0.0,169.16666666666666,134.9400072460186,6,2023-11-29,2021-02-17,733,1748,False,fugat,
433,Anestesia,2025-05,1041.98,1,15,0,2025,5,12373.43,2997.67,3410.04,1.0,1.0,0.0,135.63636363636363,72.3391918512085,11,2025-05-21,2021-04-20,194,1686,False,fidel,
433,Bioseguridad,2023-08,253.46,1,6,0,2023,8,1442.2,1442.2,1667.34,0.8649705518970336,1.0,225.13999999999987,894.0,0.0,1,2023-08-09,2021-02-26,845,1739,False,fugat,
435,Anestesia,2025-10,1063.02,1,10,0,2025,10,11458.72,2986.09,2223.12,1.0,1.0,0.0,152.54545454545453,44.61423261769853,11,2025-10-28,2021-03-25,34,1712,False,fidel,
435,Bioseguridad,2025-10,397.52,1,12,0,2025,10,6596.18,1320.8600000000001,1086.44,1.0,1.0,0.0,105.4375,57.26579340016167,16,2025-10-28,2021-03-16,34,1721,False,fidel,
462,Anestesia,2025-09,1328.79,1,15,0,2025,9,11266.48,4016.4399999999996,2223.12,1.0,1.0,0.0,204.25,110.91748058804798,8,2025-09-05,2021-03-16,87,1721,False,fidel,
462,Bioseguridad,2025-09,405.06,1,6,0,2025,9,3967.39,1341.3700000000001,1086.44,1.0,1.0,0.0,312.6,75.47873872820081,5,2025-09-05,2021-05-26,87,1650,False,fidel,
473,Anestesia,2024-03,1290.07,1,15,1,2024,3,5262.27,3873.5099999999998,3410.04,1.0,1.0,0.0,366.3333333333333,201.57766631141345,3,2024-03-07,2021-03-04,634,1733,False,fugat,
473,Bioseguridad,2021-06,287.88,1,3,0,2021,6,287.88,287.88,1667.34,0.1726582460685883,0.6906329842743532,1379.46,21.0,0.0,1,2021-06-30,2021-06-09,1615,1636,False,fugat,
474,Anestesia,2025-09,656.29,1,5,0,2025,9,7481.53,1935.9899999999998,3410.04,1.0,1.0,0.0,100.05882352941177,46.9373432018815,17,2025-09-16,2021-01-19,76,1777,False,fidel,
477,Anestesia,2025-07,295.29,1,2,0,2025,7,4274.62,1068.33,2223.12,1.0,1.0,0.0,270.6666666666667,118.29999530384136,6,2025-07-01,2021-01-19,153,1777,False,fidel,
477,Bioseguridad,2025-07,397.52,1,12,0,2025,7,2359.23,1169.1999999999998,1086.44,1.0,1.0,0.0,381.0,185.96370613643944,4,2025-07-01,2021-04-29,153,1677,False,fidel,
495,Anestesia,2025-09,708.66,1,6,0,2025,9,8763.3,2139.33,2223.12,1.0,1.0,0.0,75.45454545454545,33.62997482323724,22,2025-09-25,2021-03-10,67,1727,False,fidel,
519,Bioseguridad,2025-06,810.12,1,12,0,2025,6,5916.59,2368.19,1086.44,1.0,1.0,0.0,158.8,99.34364599711448,10,2025-06-05,2021-01-29,179,1767,False,fidel,
523,Bioseguridad,2024-08,485.98,1,12,0,2024,8,2136.92,1376.51,1086.44,1.0,1.0,0.0,317.75,173.51855088145476,4,2024-08-26,2021-03-04,462,1733,False,fugat,
542,Anestesia,2021-10,179.36,1,2,0,2021,10,538.08,538.08,2223.12,0.24203821656050958,0.9681528662420383,1685.04,65.5,16.5,2,2021-10-19,2021-06-10,1504,1635,False,fugat,
553,Anestesia,2025-04,693.19,1,6,0,2025,4,4352.29,1877.3400000000001,3410.04,1.0,1.0,0.0,277.2,78.92122654900898,5,2025-04-01,2021-06-15,244,1630,False,fidel,
553,Bioseguridad,2025-10,607.59,1,6,0,2025,10,2326.62,1804.9700000000003,1667.34,1.0,1.0,0.0,186.25,64.00927667143256,4,2025-10-02,2023-09-18,60,805,False,fidel,
583,Anestesia,2025-02,431.25,1,5,0,2025,2,841.65,841.65,3410.04,0.24681528662420382,0.9872611464968153,2568.39,1054.0,0.0,1,2025-02-07,2022-03-21,297,1351,False,promiscu,
583,Bioseguridad,2024-11,463.02,1,12,0,2024,11,463.02,463.02,1667.34,0.27769980927705207,1.0,1204.32,,,0,2024-11-25,2024-11-25,371,371,False,fugat,
632,Anestesia,2025-03,1063.02,1,10,0,2025,3,2923.09,2923.09,2223.12,1.0,1.0,0.0,738.5,108.5,2,2025-03-24,2021-03-08,252,1729,False,fidel,
632,Bioseguridad,2021-06,719.69,1,12,0,2021,6,719.69,719.69,1086.44,0.6624295865395236,1.0,366.75,7.0,0.0,1,2021-06-30,2021-06-23,1615,1622,False,fugat,
654,Anestesia,2024-11,1290.07,1,15,0,2024,11,2530.12,2530.12,2223.12,1.0,1.0,0.0,1106.0,0.0,1,2024-11-19,2021-11-09,377,1483,False,fugat,
654,Bioseguridad,2021-12,360.22,1,12,0,2021,12,360.22,360.22,1086.44,0.331559957291705,1.0,726.22,,,0,2021-12-02,2021-12-02,1460,1460,False,fugat,
664,Anestesia,2025-09,824.63,1,12,0,2025,9,6555.110000000001,1768.58,1802.36,1.0,1.0,0.0,218.28571428571428,79.55180573637764,7,2025-09-26,2021-07-21,66,1594,False,fidel,
667,Bioseguridad,2022-06,454.53999999999996,1,12,0,2022,6,1319.04,1319.04,879.2,1.0,1.0,0.0,234.5,140.5,2,2022-06-07,2021-02-23,1273,1742,False,fugat,
669,Anestesia,2024-03,719.69,1,12,0,2024,3,7500.64,2276.88,2223.12,1.0,1.0,0.0,114.3,77.4326158669588,10,2024-03-22,2021-02-03,619,1762,False,fugat,
670,Anestesia,2024-03,917.38,2,8,0,2024,3,2019.6399999999999,2019.6399999999999,1802.36,1.0,1.0,0.0,372.6666666666667,276.0209331836184,3,2024-03-20,2021-02-26,621,1739,False,fugat,
685,Anestesia,2025-11,939.27,1,10,1,2025,11,9005.24,2565.7200000000003,2223.12,1.0,1.0,0.0,179.33333333333334,51.486783633170255,9,2025-11-28,2021-06-28,3,1617,False,fidel,
685,Bioseguridad,2025-11,600.05,1,15,1,2025,11,7119.7699999999995,1698.8999999999999,1086.44,1.0,1.0,0.0,127.78571428571429,68.9763712869731,14,2025-11-28,2021-01-04,3,1792,False,fidel,
716,Anestesia,2025-07,366.5,1,5,0,2025,7,4460.28,1300.1399999999999,2223.12,1.0,1.0,0.0,162.5,66.3856159118826,10,2025-07-02,2021-01-19,152,1777,False,fidel,
722,Anestesia,2022-12,910.6,1,15,0,2022,12,2668.4,2668.4,2223.12,1.0,1.0,0.0,276.0,6.0,2,2022-12-19,2021-06-15,1078,1630,False,fugat,
722,Bioseguridad,2023-05,302.35,1,3,0,2023,5,1026.3700000000001,1026.3700000000001,1086.44,0.9447093258716542,1.0,60.069999999999936,291.5,115.5,2,2023-05-10,2021-10-04,936,1519,False,fugat,
732,Anestesia,2025-09,545.73,1,5,0,2025,9,5629.22,1431.81,2223.12,1.0,1.0,0.0,104.625,36.072626394539114,16,2025-09-12,2021-02-11,80,1754,False,fidel,
732,Bioseguridad,2025-02,397.52,1,12,0,2025,2,4115.97,1169.1999999999998,1086.44,1.0,1.0,0.0,137.7,31.2283525021734,10,2025-02-10,2021-05-05,294,1671,False,fidel,
752,Anestesia,2021-10,425.82,1,6,0,2021,10,425.82,425.82,3410.04,0.12487243551395291,0.49948974205581165,2984.22,,,0,2021-10-18,2021-10-18,1505,1505,False,fugat,
752,Bioseguridad,2023-05,755.86,1,12,0,2023,5,1295.81,1295.81,1667.34,0.7771720225029088,1.0,371.53,746.0,0.0,1,2023-05-19,2021-05-03,927,1673,False,fugat,
761,Anestesia,2025-09,366.5,1,5,0,2025,9,876.21,876.21,3410.04,0.2569500651018756,1.0,2533.83,629.0,217.0,2,2025-09-03,2022-03-25,89,1347,False,promiscu,
761,Bioseguridad,2024-11,385.84,1,12,0,2024,11,3459.04,1527.54,1667.34,1.0,1.0,0.0,177.83333333333334,65.11634886024314,6,2024-11-15,2021-12-14,381,1448,False,fugat,
768,Anestesia,2022-10,1456.77,1,15,0,2022,10,2775.3199999999997,2775.3199999999997,2223.12,1.0,1.0,0.0,398.0,0.0,1,2022-10-17,2021-09-14,1141,1539,False,fugat,
768,Bioseguridad,2024-03,385.84,1,12,0,2024,3,3352.0899999999997,1606.76,1086.44,1.0,1.0,0.0,154.0,110.26332119068425,5,2024-03-28,2022-02-17,613,1383,False,fugat,
778,Anestesia,2025-04,619.05,1,6,0,2025,4,1687.5,1687.5,3410.04,0.49486223035506915,1.0,1722.54,386.5,263.5,2,2025-04-04,2023-02-21,241,1014,False,promiscu,
801,Anestesia,2025-11,824.63,1,12,0,2025,11,3213.86,2444.34,1802.36,1.0,1.0,0.0,332.25,191.8220203730531,4,2025-11-24,2022-04-05,7,1336,False,fidel,
801,Bioseguridad,2025-11,159.01,1,3,0,2025,11,595.25,595.25,879.2,0.6770359417652411,1.0,283.95000000000005,1329.0,0.0,1,2025-11-24,2022-04-05,7,1336,False,promiscu,
813,Anestesia,2025-05,803.47,1,6,0,2025,5,8309.32,3601.2299999999996,3410.04,1.0,1.0,0.0,255.0,93.81364506296512,6,2025-05-13,2021-03-05,202,1732,False,fidel,
813,Bioseguridad,2023-09,1134.17,2,24,0,2023,9,1134.17,1134.17,1667.34,0.6802271882159608,1.0,533.1699999999998,7.0,0.0,1,2023-09-29,2023-09-22,794,801,False,fugat,
827,Anestesia,2025-06,1402.71,1,15,0,2025,6,9678.21,4001.41,1802.36,1.0,1.0,0.0,250.83333333333334,33.854673073135544,6,2025-06-27,2021-05-14,157,1662,False,fidel,
827,Bioseguridad,2024-01,378.31,1,12,0,2024,1,491.79,491.79,879.2,0.5593607825295723,1.0,387.41,39.0,0.0,1,2024-01-08,2023-11-30,693,732,False,fugat,
878,Anestesia,2025-11,590.57,1,5,0,2025,11,5735.77,1771.71,3410.04,1.0,1.0,0.0,349.8,415.64908276092706,5,2025-11-06,2021-01-22,25,1774,False,fidel,
878,Bioseguridad,2023-07,0.0,1,12,0,2023,7,567.08,567.08,1667.34,0.34011059531949095,1.0,1100.2599999999998,10.0,0.0,1,2023-07-03,2023-06-23,882,892,False,fugat,
879,Anestesia,2025-12,666.25,1,10,0,2025,12,6699.3099999999995,1985.3,3410.04,1.0,1.0,0.0,163.1,47.17721907870365,10,2025-12-01,2021-06-14,0,1631,False,fidel,
879,Bioseguridad,2025-12,607.59,1,9,0,2025,12,4776.27,1458.5000000000002,1667.34,1.0,1.0,0.0,163.1,66.50180448679569,10,2025-12-01,2021-06-14,0,1631,False,fidel,
906,Anestesia,2025-11,590.57,1,5,0,2025,11,7430.6900000000005,1450.2400000000002,3410.04,1.0,1.0,0.0,122.92857142857143,53.712813429670696,14,2025-11-26,2021-03-11,5,1726,False,fidel,
906,Bioseguridad,2025-10,972.14,1,12,0,2025,10,3534.38,2454.85,1667.34,1.0,1.0,0.0,496.6666666666667,133.51737298527442,3,2025-10-28,2021-09-29,34,1524,False,fidel,
924,Anestesia,2023-06,528.46,1,10,0,2023,6,1184.44,1184.44,2223.12,0.5327827557666703,1.0,1038.6799999999998,142.0,86.3751507475771,3,2023-06-08,2022-04-08,907,1333,False,fugat,
932,Anestesia,2025-02,1419.06,1,15,0,2025,2,2709.13,2709.13,2223.12,1.0,1.0,0.0,296.0,0.0,1,2025-02-28,2024-05-08,276,572,False,fidel,
946,Anestesia,2024-05,1333.05,1,15,0,2024,5,3213.79,3213.79,3410.04,0.9424493554327809,1.0,196.25,305.6666666666667,283.7150370040725,3,2024-05-08,2021-11-03,572,1489,False,fugat,
946,Bioseguridad,2025-10,477.03,1,12,0,2025,10,5053.82,2849.55,1667.34,1.0,1.0,0.0,281.5,88.09606498968422,6,2025-10-31,2021-03-17,31,1720,False,fidel,
959,Anestesia,2025-06,1063.02,1,12,0,2025,6,7983.43,3836.27,3410.04,1.0,1.0,0.0,263.4,137.65115328249163,5,2025-06-06,2021-10-28,178,1495,False,fidel,
991,Anestesia,2025-06,164.91,1,3,0,2025,6,4203.84,947.71,2223.12,1.0,1.0,0.0,154.0,25.612496949731394,10,2025-06-06,2021-03-19,178,1718,False,fidel,
993,Bioseguridad,2025-11,397.52,1,12,0,2025,11,4976.58,1646.24,1086.44,1.0,1.0,0.0,221.375,138.4042426192203,8,2025-11-25,2021-01-19,6,1777,False,fidel,
1005,Anestesia,2025-03,1488.23,1,16,0,2025,3,12955.92,4362.78,4546.72,1.0,1.0,0.0,160.66666666666666,75.88002225736216,9,2025-03-11,2021-03-26,265,1711,False,fidel,
1005,Bioseguridad,2025-09,954.06,1,24,0,2025,9,10100.38,2834.1299999999997,2223.12,1.0,1.0,0.0,154.63636363636363,115.87004689994322,11,2025-09-16,2021-01-19,76,1777,False,fidel,
1036,Anestesia,2025-08,439.79,1,6,0,2025,8,2348.13,1527.33,2223.12,1.0,1.0,0.0,401.25,123.19369910835537,4,2025-08-28,2021-04-06,95,1700,False,fidel,
1036,Bioseguridad,2024-09,231.51,1,6,0,2024,9,908.96,908.96,1086.44,0.8366407716947093,1.0,177.48000000000002,634.0,88.0,2,2024-09-25,2021-04-06,432,1700,False,fugat,
1056,Anestesia,2024-11,399.34000000000003,1,5,0,2024,11,1219.13,1219.13,1802.36,0.6764075989258529,1.0,583.2299999999998,550.5,52.5,2,2024-11-13,2021-11-08,383,1484,False,fugat,
1056,Bioseguridad,2024-08,545.32,1,9,0,2024,8,1054.3700000000001,1054.3700000000001,879.2,1.0,1.0,0.0,806.0,0.0,1,2024-08-30,2022-06-16,458,1264,False,fugat,
1073,Anestesia,2023-09,422.77,1,6,0,2023,9,1369.07,1369.07,1802.36,0.7595985263765286,1.0,433.28999999999996,449.5,111.5,2,2023-09-22,2021-04-06,801,1700,False,fugat,
1073,Bioseguridad,2022-10,472.95,1,12,0,2022,10,689.0799999999999,689.0799999999999,879.2,0.7837579617834394,1.0,190.12000000000012,330.0,0.0,1,2022-10-19,2021-11-23,1139,1469,False,fugat,
1116,Anestesia,2024-06,978.99,1,15,0,2024,6,2465.56,1952.5500000000002,3410.04,0.7230296418810337,1.0,944.48,270.0,134.83570249257676,3,2024-06-19,2022-04-01,530,1340,False,fugat,
1116,Bioseguridad,2023-09,755.86,1,12,0,2023,9,973.9,973.9,1667.34,0.584104021975122,1.0,693.4399999999999,518.0,0.0,1,2023-09-01,2022-04-01,822,1340,False,fugat,
1118,Anestesia,2025-06,531.51,1,6,0,2025,6,3536.76,1552.1,3410.04,1.0,1.0,0.0,131.42857142857142,73.6494731682392,7,2025-06-05,2022-11-28,179,1099,False,fidel,
1118,Bioseguridad,2025-09,802.5799999999999,1,18,0,2025,9,8574.42,2076.98,1667.34,1.0,1.0,0.0,131.15384615384616,71.3893400293243,13,2025-09-12,2021-01-11,80,1785,False,fidel,
1137,Anestesia,2025-01,533.74,1,10,0,2025,1,4195.990000000001,4195.990000000001,2223.12,1.0,1.0,0.0,145.25,172.84584895218052,4,2025-01-23,2023-06-22,312,893,False,fidel,
1137,Bioseguridad,2025-01,202.53,1,3,0,2025,1,580.84,580.84,1086.44,0.5346268546813446,1.0,505.6,735.0,0.0,1,2025-01-23,2023-01-19,312,1047,False,promiscu,
1144,Anestesia,2025-11,1519.6100000000001,1,15,0,2025,11,12799.53,3605.7300000000005,5683.4,1.0,1.0,0.0,181.88888888888889,38.977042942522075,9,2025-11-19,2021-05-27,12,1649,False,fidel,
1144,Bioseguridad,2025-05,706.97,1,12,0,2025,5,3886.84,1545.3199999999997,2778.9,1.0,1.0,0.0,201.83333333333334,99.31333691347244,6,2025-05-28,2022-02-02,187,1398,False,fidel,
1156,Anestesia,2025-09,992.6800000000001,2,15,0,2025,9,9995.71,2263.95,4546.72,1.0,1.0,0.0,101.9375,64.41027552921972,16,2025-09-24,2021-04-07,68,1699,False,fidel,
1156,Bioseguridad,2025-05,810.12,1,12,0,2025,5,5329.83,1593.48,2223.12,1.0,1.0,0.0,161.875,79.55884221756875,8,2025-05-06,2021-10-19,209,1504,False,fidel,
1169,Anestesia,2024-12,246.11,1,4,0,2024,12,1213.01,829.18,2223.12,0.5456340638382093,1.0,1010.1099999999999,424.6666666666667,215.00749340946751,3,2024-12-02,2021-06-07,364,1638,False,promiscu,
1169,Bioseguridad,2023-11,226.77,1,3,0,2023,11,226.77,226.77,1086.44,0.2087275873495085,0.834910349398034,859.6700000000001,,,0,2023-11-28,2023-11-28,734,734,False,fugat,
1195,Anestesia,2024-04,800.61,1,15,0,2024,4,2510.19,2510.19,3410.04,0.7361174648977725,1.0,899.8499999999999,547.5,162.5,2,2024-04-25,2021-04-26,585,1680,False,fugat,
1221,Anestesia,2024-02,1399.5300000000002,1,15,0,2024,2,5350.23,4040.82,3410.04,1.0,1.0,0.0,319.6666666666667,41.70797951897881,3,2024-02-14,2021-06-30,656,1615,False,fugat,
1262,Anestesia,2023-09,723.84,1,6,0,2023,9,2853.0,2150.34,1802.36,1.0,1.0,0.0,297.6666666666667,144.7165812506946,3,2023-09-25,2021-04-15,798,1691,False,fugat,
1262,Bioseguridad,2021-04,323.86,1,3,0,2021,4,323.86,323.86,879.2,0.36835759781619654,1.0,555.34,,,0,2021-04-15,2021-04-15,1691,1691,False,fugat,
1264,Anestesia,2025-05,824.63,1,12,0,2025,5,6993.4400000000005,1731.97,1802.36,1.0,1.0,0.0,119.53846153846153,47.98976715383489,13,2025-05-28,2021-02-24,187,1741,False,fidel,
1314,Anestesia,2023-02,717.8000000000001,1,6,0,2023,2,5408.4,2737.88,2223.12,1.0,1.0,0.0,106.42857142857143,93.31338465141022,7,2023-02-09,2021-01-25,1026,1771,False,fugat,
1314,Bioseguridad,2022-07,726.85,1,12,0,2022,7,1410.55,1410.55,1086.44,1.0,1.0,0.0,268.0,50.0,2,2022-07-15,2021-01-25,1235,1771,False,fugat,
1392,Anestesia,2022-02,413.35,1,5,0,2022,2,413.35,413.35,2223.12,0.1859323833171399,0.7437295332685596,1809.77,,,0,2022-02-02,2022-02-02,1398,1398,False,fugat,
1392,Bioseguridad,2025-09,298.14,1,9,0,2025,9,2812.42,629.03,1086.44,1.0,1.0,0.0,179.77777777777777,80.39178755428219,9,2025-09-25,2021-04-21,67,1685,False,fidel,
1416,Anestesia,2024-10,177.91,1,2,0,2024,10,1505.03,1163.02,2223.12,0.6769899960415993,1.0,718.0899999999999,433.3333333333333,302.28720706565724,3,2024-10-08,2021-03-18,419,1719,False,fugat,
1420,Anestesia,2025-09,1328.79,1,15,0,2025,9,10201.55,3908.9299999999994,2223.12,1.0,1.0,0.0,202.125,43.59597888567247,8,2025-09-03,2021-03-31,89,1706,False,fidel,
1426,Anestesia,2025-10,205.92,1,1,0,2025,10,6410.67,1387.0600000000002,2223.12,1.0,1.0,0.0,93.88888888888889,38.39399387185578,18,2025-10-03,2021-02-16,59,1749,False,fidel,
1426,Bioseguridad,2025-10,266.33,1,6,0,2025,10,2909.26,804.05,1086.44,1.0,1.0,0.0,211.25,134.67159128784363,8,2025-10-03,2021-02-16,59,1749,False,fidel,
1428,Anestesia,2025-01,573.36,1,5,0,2025,1,4130.2699999999995,1756.4699999999998,2223.12,1.0,1.0,0.0,196.83333333333334,36.54867378654875,6,2025-01-22,2021-10-29,313,1494,False,fidel,
1428,Bioseguridad,2025-04,283.54,1,3,0,2025,4,1929.8400000000001,868.21,1086.44,1.0,1.0,0.0,252.0,34.94567212116545,5,2025-04-11,2021-10-29,234,1494,False,fidel,
1430,Anestesia,2025-09,1328.79,1,15,0,2025,9,14328.970000000001,3986.370000000001,2223.12,1.0,1.0,0.0,100.52941176470588,25.43531044239559,17,2025-09-26,2021-01-21,66,1775,False,fidel,
1430,Bioseguridad,2025-10,477.03,1,12,0,2025,10,5585.16,1431.09,1086.44,1.0,1.0,0.0,97.82352941176471,38.8151506110052,17,2025-10-17,2021-03-29,45,1708,False,fidel,
1433,Anestesia,2025-10,274.88,1,5,0,2025,10,1350.37,1350.37,2223.12,0.6074211018748426,1.0,872.75,258.0,215.0,2,2025-10-15,2024-05-17,47,563,False,promiscu,
1451,Anestesia,2025-04,590.57,1,5,0,2025,4,3966.53,1731.6400000000003,2223.12,1.0,1.0,0.0,251.0,50.42486159293515,6,2025-04-10,2021-02-24,235,1741,False,fidel,
1451,Bioseguridad,2025-07,159.01,1,3,0,2025,7,898.35,464.65999999999997,1086.44,0.8268749309671956,1.0,188.09000000000003,306.0,71.6184333813579,5,2025-07-07,2021-04-29,147,1677,False,fidel,
